Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
36,2024-12-14 17:53:49.064,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5141,98,4938409703,True,5044.833174269898
36,2024-12-14 17:53:49.064,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5141,98,4938409703,True,5044.833174269898
36,2024-12-14 17:53:49.064,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,2197,562,4938409703,True,1749.4777093149694
36,2024-12-14 17:53:49.064,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5141,98,4938409703,True,5044.833174269898
36,2024-12-14 17:53:49.064,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,2197,562,4938409703,True,1749.4777093149694
36,2024-12-14 17:53:49.064,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3374,679,4938409703,True,2808.7530224525044
36,2024-12-14 17:53:49.064,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5141,98,4938409703,True,5044.833174269898
36,2024-12-14 17:53:49.064,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,2197,562,4938409703,True,1749.4777093149694
36,2024-12-14 17:53:49.064,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3374,679,4938409703,True,2808.7530224525044
36,2024-12-14 17:53:49.064,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,7869,1754,4938409703,True,6434.70445806921
36,2024-12-14 17:53:49.191,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,4438,198,4938409825,True,4248.456427955134
36,2024-12-14 17:53:49.191,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,4438,198,4938409825,True,4248.456427955134
36,2024-12-14 17:53:49.191,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,1025,938,4938409825,True,535.2139582272033
36,2024-12-14 17:53:49.191,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,4438,198,4938409825,True,4248.456427955134
36,2024-12-14 17:53:49.191,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,1025,938,4938409825,True,535.2139582272033
36,2024-12-14 17:53:49.191,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,3452,424,4938409825,True,3074.3818369453043
36,2024-12-14 17:53:49.191,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,4438,198,4938409825,True,4248.456427955134
36,2024-12-14 17:53:49.191,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,1025,938,4938409825,True,535.2139582272033
36,2024-12-14 17:53:49.191,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,3452,424,4938409825,True,3074.3818369453043
36,2024-12-14 17:53:49.191,MCSLab RTT AP3,b0:e4:d5:88:16:86,-67,5633,689,4938409825,True,5019.0903195191395
36,2024-12-14 17:53:49.289,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,4780,173,4938409928,True,4613.042600444175
36,2024-12-14 17:53:49.289,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,4780,173,4938409928,True,4613.042600444175
36,2024-12-14 17:53:49.289,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,986,782,4938409928,True,549.8846153846154
36,2024-12-14 17:53:49.289,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,4780,173,4938409928,True,4613.042600444175
36,2024-12-14 17:53:49.289,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,986,782,4938409928,True,549.8846153846154
36,2024-12-14 17:53:49.289,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3257,1401,4938409928,True,2277.382782310004
36,2024-12-14 17:53:49.289,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,4780,173,4938409928,True,4613.042600444175
