Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
23,2024-12-14 17:22:33.129,MCSLab RTT AP2,24:29:34:e1:ef:d4,-75,7778,1460,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP2,24:29:34:e1:ef:d4,-75,7778,1460,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6338,2185,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP2,24:29:34:e1:ef:d4,-75,7778,1460,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6338,2185,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,-414,1199,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP2,24:29:34:e1:ef:d4,-75,7778,1460,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6338,2185,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,-414,1199,4936533769,true
23,2024-12-14 17:22:33.129,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,2479,186,4936533769,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8393,2006,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8393,2006,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,6396,2080,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8393,2006,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,6396,2080,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,-610,1543,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8393,2006,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,6396,2080,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,-610,1543,4936533893,true
23,2024-12-14 17:22:33.254,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,2391,324,4936533892,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,8657,1933,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,8657,1933,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6279,2273,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,8657,1933,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6279,2273,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,-453,1292,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,8657,1933,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6279,2273,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,-453,1292,4936534015,true
23,2024-12-14 17:22:33.375,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,2235,193,4936534015,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,10473,128,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,10473,128,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5957,2431,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,10473,128,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5957,2431,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-297,1272,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,10473,128,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5957,2431,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-297,1272,4936534136,true
23,2024-12-14 17:22:33.496,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,2039,220,4936534136,true
23,2024-12-14 17:22:33.619,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6225,426,4936534258,true
23,2024-12-14 17:22:33.619,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6225,426,4936534258,true
23,2024-12-14 17:22:33.619,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6279,2215,4936534258,true
