timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
493767252,32,125.89800323799244,4458.377551020408,3268.6121340887635,4238.329767537544,-58.0,-65.0,-57.0,-63.0
493767264,32,152.5666293393057,3495.850988700565,3571.884460367219,4264.055590650663,-58.0,-64.0,-55.0,-62.0
493767276,32,119.63538461538464,4383.314849785408,3350.9173438588346,4617.714553404123,-58.0,-64.0,-55.0,-65.0
493767289,32,203.7458515283843,5160.207168458782,3072.570177514793,4499.187034860947,-60.0,-64.0,-54.0,-65.0
493767301,32,93.93431483578708,4511.607615359794,3441.480038948393,4080.1231779593145,-58.0,-62.0,-55.0,-62.0
493767313,32,288.47021081576537,5210.63264567499,3276.019631901841,4914.018996960486,-59.0,-64.0,-56.0,-62.0
493767326,32,195.35754189944132,4330.037202893558,2956.72625698324,4019.2410256410258,-50.0,-63.0,-54.0,-64.0
493767338,32,216.632967032967,4202.700490711532,3856.4545315370488,4899.7234236978375,-58.0,-64.0,-52.0,-63.0
493767354,32,140.56243441762854,4532.074745762711,3662.808540674078,4813.230813869142,-59.0,-65.0,-50.0,-62.0
493767367,32,123.8859516616314,3887.7658669389143,4005.668106240553,4874.62283269534,-59.0,-65.0,-53.0,-59.0
493767379,32,185.969387755102,4354.2422921208345,3326.971184877824,4861.689230769232,-59.0,-65.0,-53.0,-63.0
493767392,32,163.19205298013247,4389.095034405802,4430.379040667362,4296.882564503519,-59.0,-64.0,-54.0,-64.0
493767410,32,206.06155778894475,4767.607025436927,4090.8908531898537,3529.555622472684,-59.0,-65.0,-50.0,-60.0
493767425,32,159.09263657957243,3653.03632664923,2778.57990430622,3973.986265533028,-59.0,-65.0,-53.0,-65.0
493767440,32,93.61625282167044,4652.482438365417,3055.9343220338983,4362.708991399531,-59.0,-64.0,-54.0,-63.0
493767454,32,182.4527252502781,4521.918337045286,2967.779439252336,3960.6931344241257,-59.0,-65.0,-52.0,-64.0
493767468,32,173.3616200578592,4143.751046375356,2922.9887085391674,4220.733569018159,-58.0,-65.0,-52.0,-64.0
493767483,32,205.54511278195488,4742.155835080363,2902.50525578136,3958.788039121372,-58.0,-65.0,-52.0,-64.0
493767496,32,110.92219917012449,,3242.568807339449,4017.309626781996,-59.0,,-53.0,-63.0
493767497,32,,4475.885923155389,,,,-64.0,,
493767510,32,190.9487776484284,4555.8595398719945,2669.0682916579112,3986.914419505894,-58.0,-64.0,-53.0,-64.0
493767523,32,167.8863868986694,4570.483246337768,2835.323378441437,4362.708991399531,-58.0,-63.0,-53.0,-63.0
493767537,32,176.7510775862069,4487.548815811893,3095.2337899543377,4079.469730941704,-59.0,-64.0,-53.0,-64.0
493767552,32,-3.540220820189275,4385.186465082794,3212.360827084753,4252.415244777548,-49.0,-65.0,-53.0,-64.0
493767566,32,248.7089552238806,4484.944817175444,3462.923400487049,4071.64466112532,-58.0,-64.0,-53.0,-63.0
493767582,32,190.65377176015477,4506.16336461592,3047.831801470588,4132.171884984025,-59.0,-64.0,-54.0,-63.0
493767596,32,72.51578947368421,4500.572144647333,2951.2304832713758,4030.868531018965,-59.0,-65.0,-53.0,-63.0
493767611,32,241.2502585315408,4452.102702702702,2895.3945748803285,4426.67933083177,-59.0,-65.0,-53.0,-62.0
493767626,32,144.19375672766415,4492.889273955987,2975.4265635980323,4225.914611301904,-58.0,-64.0,-53.0,-63.0
493767640,32,205.5641293013556,4375.591719849452,3056.6538733223447,4241.593128678224,-58.0,-64.0,-54.0,-63.0
493767653,32,53.755022683084896,4335.13860558435,2860.013179571664,4333.570052811432,-54.0,-64.0,-53.0,-63.0
