timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
493858793,38,,,4369.0,3948.0,,,-59.0,-62.0,,,175.0,139.0
493858799,38,,,5811.0,4299.0,,,-58.0,-60.0,,,177.0,84.0
493858819,38,,,3379.0,4266.0,,,-56.0,-61.0,,,900.0,394.0
493858833,38,,,2534.0,4305.0,,,-55.0,-55.0,,,1322.0,370.0
493858846,38,,,3525.0,4422.0,,,-56.0,-60.0,,,1031.0,358.0
493858860,38,,,3525.0,4305.0,,,-56.0,-61.0,,,915.0,388.0
493858873,38,,,3183.0,4383.0,,,-58.0,-60.0,,,703.0,341.0
493858887,38,,,3057.0,4539.0,,,-57.0,-61.0,,,1030.0,264.0
493858900,38,,,3555.0,4188.0,,,-57.0,-59.0,,,1149.0,430.0
493858915,38,,,3818.0,4188.0,,,-58.0,-58.0,,,876.0,420.0
493858928,38,,,3349.0,4266.0,,,-57.0,-59.0,,,924.0,433.0
493858935,38,,,3212.0,4188.0,,,-57.0,-59.0,,,839.0,442.0
493858943,38,,,3408.0,4227.0,,,-58.0,-61.0,,,966.0,385.0
493858957,38,4467.0,3530.0,3467.0,4305.0,-70.0,-67.0,-58.0,-61.0,156.0,623.0,1165.0,414.0
493858972,38,4468.0,3969.0,3447.0,4738.0,-70.0,-67.0,-55.0,-58.0,111.0,332.0,1226.0,581.0
493858987,38,4526.0,3706.0,3525.0,4188.0,-70.0,-67.0,-57.0,-61.0,107.0,576.0,1035.0,475.0
493859002,38,4555.0,3999.0,3379.0,4227.0,-70.0,-68.0,-58.0,-61.0,123.0,416.0,1247.0,441.0
493859017,38,4428.0,3970.0,3408.0,4149.0,-70.0,-69.0,-56.0,-60.0,178.0,272.0,1260.0,435.0
493859031,38,4624.0,3794.0,3408.0,4227.0,-70.0,-69.0,-57.0,-60.0,126.0,353.0,1025.0,447.0
493859044,38,4438.0,3589.0,3174.0,4149.0,-69.0,-67.0,-58.0,-60.0,125.0,631.0,1354.0,452.0
493859058,38,4467.0,3559.0,3320.0,4266.0,-69.0,-67.0,-59.0,-61.0,139.0,667.0,1421.0,403.0
493859073,38,4507.0,3706.0,3320.0,4266.0,-69.0,-67.0,-57.0,-59.0,121.0,637.0,1146.0,459.0
493859088,38,4497.0,3999.0,3437.0,4188.0,-69.0,-66.0,-57.0,-59.0,140.0,441.0,999.0,455.0
493859102,38,4409.0,4028.0,3349.0,4188.0,-69.0,-67.0,-57.0,-59.0,149.0,438.0,1001.0,471.0
493859117,38,4150.0,3794.0,3349.0,4071.0,-62.0,-66.0,-58.0,-55.0,309.0,476.0,847.0,531.0
493859132,38,4507.0,3647.0,3203.0,4149.0,-61.0,-67.0,-58.0,-60.0,685.0,553.0,1042.0,464.0
493859147,38,4380.0,3852.0,3379.0,4110.0,-70.0,-67.0,-57.0,-59.0,177.0,406.0,699.0,475.0
493859162,38,4409.0,3794.0,3467.0,4110.0,-70.0,-67.0,-57.0,-60.0,141.0,507.0,1093.0,493.0
493859175,38,4380.0,3940.0,3467.0,4149.0,-70.0,-67.0,-57.0,-60.0,152.0,494.0,1195.0,432.0
493859190,38,4546.0,4204.0,3437.0,4002.0,-70.0,-67.0,-56.0,-55.0,81.0,400.0,1032.0,476.0
