Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8247,968,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8247,968,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8280,87,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8247,968,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8280,87,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,366,139,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,8247,968,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8280,87,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,366,139,6671703702,true
1-8,2025-01-03 19:21:53.310,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,2274,85,6671703702,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7837,1036,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7837,1036,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8213,90,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7837,1036,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8213,90,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,366,143,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7837,1036,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,8213,90,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,366,143,6671703802,true
1-8,2025-01-03 19:21:53.409,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,2309,345,6671703802,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7426,876,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7426,876,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8165,126,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7426,876,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8165,126,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,132,198,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7426,876,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8165,126,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,132,198,6671703918,true
1-8,2025-01-03 19:21:53.526,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,2592,264,6671703918,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6655,373,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6655,373,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,645,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6655,373,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,645,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,171,115,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6655,373,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,645,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,171,115,6671704014,true
1-8,2025-01-03 19:21:53.627,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,3036,1479,6671704014,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7544,824,6671704298,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7544,824,6671704298,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8408,658,6671704297,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7544,824,6671704298,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8408,658,6671704297,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,337,149,6671704297,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7544,824,6671704298,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8408,658,6671704297,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,337,149,6671704297,true
1-8,2025-01-03 19:21:53.905,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,4362,954,6671704297,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,962,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,962,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8174,818,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,962,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8174,818,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,444,108,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,962,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8174,818,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,444,108,6671704574,true
1-8,2025-01-03 19:21:54.184,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,5848,285,6671704574,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,7514,856,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,7514,856,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,867,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,7514,856,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,867,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP1,24:29:34:e2:4c:36,-52,561,716,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,7514,856,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8291,867,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP1,24:29:34:e2:4c:36,-52,561,716,6671704853,true
1-8,2025-01-03 19:21:54.482,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,4188,897,6671704852,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,847,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,847,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8291,741,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,847,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8291,741,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,483,50,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7456,847,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8291,741,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP1,24:29:34:e2:4c:36,-56,483,50,6671705123,true
1-8,2025-01-03 19:21:54.733,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,2118,1300,6671705122,true
1-8,2025-01-03 19:21:54.882,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7485,917,6671705267,true
1-8,2025-01-03 19:21:54.882,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7485,917,6671705267,true
1-8,2025-01-03 19:21:54.882,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8213,787,6671705267,true
1-8,2025-01-03 19:21:54.882,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7485,917,6671705267,true
1-8,2025-01-03 19:21:54.882,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8213,787,6671705267,true
