Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,1225,502,7255375947,True,868.9200926462073
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,1225,502,7255375947,True,868.9200926462073
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8535,861,7255375947,True,7752.8975095785445
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,1225,502,7255375947,True,868.9200926462073
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8535,861,7255375947,True,7752.8975095785445
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,7163,557,7255375947,True,6646.187694300518
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,1225,502,7255375947,True,868.9200926462073
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8535,861,7255375947,True,7752.8975095785445
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,7163,557,7255375947,True,6646.187694300518
9-1,2025-01-10 13:29:45.555,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,1883,994,7255375947,True,1232.4257907542578
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1264,405,7255376070,True,957.2774116237267
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1264,405,7255376070,True,957.2774116237267
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8740,968,7255376070,True,7868.520807581377
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1264,405,7255376070,True,957.2774116237267
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8740,968,7255376070,True,7868.520807581377
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,6606,1038,7255376070,True,5708.952904238618
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1264,405,7255376070,True,957.2774116237267
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,8740,968,7255376070,True,7868.520807581377
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,6606,1038,7255376070,True,5708.952904238618
9-1,2025-01-10 13:29:45.678,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2078,853,7255376070,True,1473.2459911293074
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1499,346,7255376193,True,1217.8867208672086
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1499,346,7255376193,True,1217.8867208672086
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,8135,411,7255376193,True,7743.7660893985485
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1499,346,7255376193,True,1217.8867208672086
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,8135,411,7255376193,True,7743.7660893985485
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,7085,496,7255376193,True,6621.451655454425
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1499,346,7255376193,True,1217.8867208672086
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,8135,411,7255376193,True,7743.7660893985485
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,7085,496,7255376193,True,6621.451655454425
9-1,2025-01-10 13:29:45.800,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,1961,656,7255376193,True,1469.4386702330914
9-1,2025-01-10 13:29:45.929,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1850,150,7255376320,True,1711.25
9-1,2025-01-10 13:29:45.929,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1850,150,7255376320,True,1711.25
9-1,2025-01-10 13:29:45.929,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,8682,2354,7255376320,True,6830.112722000726
9-1,2025-01-10 13:29:45.929,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1850,150,7255376320,True,1711.25
