timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
725633930,6-6,2887.043412198828,4487.907204828367,4823.202518363063,192.63602251407127,-57.0,-75.0,-58.0,-54.0
725633943,6-6,3027.629282129609,4820.997065809697,4346.252073613271,287.2671755725191,-59.0,-76.0,-57.0,-55.0
725633955,6-6,1376.3888284367067,5106.454291207831,5083.409186388461,500.0905775075988,-58.0,-75.0,-56.0,-55.0
725633967,6-6,2744.195657537626,7458.481806775407,4448.462450592886,524.346528973035,-59.0,-72.0,-56.0,-51.0
725633980,6-6,2978.2265774378584,5180.087744126805,5663.674796747967,627.3638985005767,-51.0,-68.0,-54.0,-53.0
725633993,6-6,2902.7084475454776,3218.4687133359407,4516.197183098591,609.6372093023256,-57.0,-68.0,-56.0,-53.0
725634005,6-6,2903.1576696953503,3406.0024125452355,4854.155828068871,527.9740412979351,-58.0,-68.0,-55.0,-54.0
725634018,6-6,3057.715820574805,4197.6033662641785,4224.847731510256,547.8402032749858,-59.0,-67.0,-56.0,-53.0
725634030,6-6,3145.053161290323,3407.446900058674,4778.975609756098,293.2363636363636,-58.0,-67.0,-55.0,-54.0
725634043,6-6,2683.610561056106,3870.8760393046105,4767.927971772722,324.0519230769231,-58.0,-66.0,-55.0,-54.0
725634058,6-6,3063.800368227249,4047.969708443771,4518.561916771753,233.20290812954397,-59.0,-67.0,-55.0,-54.0
725634072,6-6,2866.830403309204,3334.2759299350523,4964.828864656831,580.6068660022148,-53.0,-67.0,-53.0,-54.0
725634086,6-6,,,4495.990215506565,310.58046767537826,,,-56.0,-54.0
725634087,6-6,2852.2451028403525,2988.494605198627,,,-58.0,-66.0,,
725634100,6-6,2886.1891604675875,2860.650540275049,4745.395464390368,209.5408163265306,-59.0,-66.0,-55.0,-54.0
725634113,6-6,2986.579366940211,3050.5834793491867,4702.854671717172,447.2172211350294,-57.0,-66.0,-56.0,-53.0
725634126,6-6,2742.165927021696,2736.4063987308305,4369.31482195655,320.9657142857142,-59.0,-66.0,-56.0,-53.0
725634141,6-6,2929.410334346505,2892.979923761118,4326.737972616505,144.460843373494,-59.0,-66.0,-56.0,-50.0
725634155,6-6,2593.655012224939,2712.076322848086,4525.409952008083,216.309691011236,-57.0,-64.0,-56.0,-54.0
725634169,6-6,2846.488180318857,2791.022584692597,4638.464732941477,352.8858218318695,-58.0,-66.0,-57.0,-54.0
725634183,6-6,2866.783656509695,2868.770956925458,4103.795538559592,423.7719537100068,-58.0,-66.0,-57.0,-54.0
725634196,6-6,2723.020760312753,2998.344658944659,4021.704398362172,238.54056162246488,-58.0,-65.0,-57.0,-47.0
725634210,6-6,3033.682281059063,3090.8143545523712,4537.696818065178,303.0765100671141,-58.0,-65.0,-56.0,-54.0
725634225,6-6,3082.092505565174,3126.1665830406423,4814.107988911291,621.9311981020167,-58.0,-66.0,-56.0,-54.0
725634239,6-6,2825.0508001016005,3269.127071823204,4362.6487576427735,420.0882352941177,-59.0,-66.0,-57.0,-53.0
725634253,6-6,2842.390371533229,2892.2449186991867,4219.986367807052,641.2590879048249,-58.0,-66.0,-57.0,-49.0
725634268,6-6,2895.1871820956253,,4226.125728343907,523.170225747407,-57.0,,-57.0,-54.0
725634269,6-6,,2677.086249383933,,,,-66.0,,
725634283,6-6,2831.8336892685534,3097.8853584138283,4787.481876606684,474.1492795389049,-58.0,-67.0,-56.0,-53.0
725634297,6-6,2922.3705469142,2709.1311720698254,5768.756756756758,423.2,-57.0,-66.0,-54.0,-54.0
725634312,6-6,3130.879396984925,2849.8467995802725,4328.3690625785375,503.1951219512196,-58.0,-67.0,-57.0,-54.0
725634326,6-6,2642.349423437919,3026.388412574695,4345.688868731372,626.389486260454,-57.0,-67.0,-56.0,-55.0
725634338,6-6,2825.3877763329,2780.5518300486306,4525.044585987261,400.5926640926641,-58.0,-67.0,-54.0,-54.0
725634351,6-6,2882.1521119461004,3011.522492244054,4947.478951098512,712.2604105571847,-58.0,-68.0,-56.0,-55.0
725634365,6-6,2891.18118639861,2756.082290279627,7508.546803926262,634.101571268238,-57.0,-67.0,-56.0,-55.0
725634380,6-6,3028.9013125911524,2071.4216490816725,4703.646030769231,327.8346303501946,-58.0,-68.0,-56.0,-55.0
725634394,6-6,3218.2076446280994,2190.840355225114,4576.270242656449,426.0932256059664,-59.0,-67.0,-56.0,-54.0
725634409,6-6,2941.609362602486,2615.148130731249,4540.713412254456,459.68517388651617,-58.0,-67.0,-57.0,-54.0
725634423,6-6,3046.17390167364,2521.7687890137327,4542.359234523504,300.05581395348844,-58.0,-67.0,-57.0,-54.0
725634438,6-6,2883.1252653927813,1860.917775571003,4412.009077752927,455.8453608247423,-58.0,-66.0,-57.0,-54.0
725634452,6-6,2465.7649076517155,2625.33967529173,4295.652671755725,498.5751515151516,-52.0,-67.0,-57.0,-53.0
725634467,6-6,2890.0421426758057,2853.589703178356,4140.348725104655,537.8100961538462,-59.0,-66.0,-58.0,-54.0
725634481,6-6,2885.142671854734,2730.237748177934,4094.5627615062754,429.56390977443607,-59.0,-66.0,-56.0,-53.0
725634497,6-6,3072.1152004033274,2549.13780918728,4195.269101751771,678.4379888268156,-58.0,-67.0,-58.0,-53.0
725634511,6-6,3019.5957559681697,2500.83241252302,4156.725356722084,550.7175384615384,-58.0,-67.0,-57.0,-54.0
725634525,6-6,2955.43253968254,2359.4402160569603,3774.2384071532542,533.6410256410256,-58.0,-67.0,-54.0,-53.0
725634541,6-6,2882.595644642415,2553.0770703685976,4535.721012658228,481.2009987515606,-57.0,-67.0,-57.0,-50.0
725634555,6-6,2807.9336026256,2451.6847474496144,4322.07759634226,499.4833029751063,-57.0,-67.0,-57.0,-53.0
725634570,6-6,3015.5962913907283,2859.5518713890983,4315.3128994391545,368.36935166994107,-59.0,-67.0,-57.0,-55.0
725634585,6-6,2806.28460085026,2691.678889990089,4011.68537022803,880.9411764705882,-52.0,-67.0,-58.0,-53.0
725634599,6-6,3172.326883910387,2738.496596924628,4123.609475679091,362.2021893110109,-57.0,-66.0,-56.0,-55.0
725634614,6-6,2890.96749672346,2485.0198646583717,4257.126753507014,-0.291332847778587,-50.0,-66.0,-56.0,-50.0
725634629,6-6,2855.0896189224704,2630.009911054637,4320.494846688998,362.2021893110109,-59.0,-66.0,-56.0,-55.0
725634643,6-6,2864.4032659839468,2684.87641509434,4255.917674298945,731.6828402366864,-61.0,-66.0,-56.0,-50.0
725634658,6-6,2585.6489388264667,2335.154051282051,4171.037571884985,485.9010989010989,-57.0,-66.0,-57.0,-53.0
725634672,6-6,2345.885634588564,2400.623753189516,4548.200745884774,418.64223268325486,-52.0,-66.0,-55.0,-55.0
