Starting Wi-Fi RTT Ranging...
Timestamp: 2024-11-28 15:08:51.114, Ranging failed for one or more APs
Label: 11, Timestamp: 2024-11-28 15:08:51.114, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -67, Distance: 11860 mm, StdDev: 645 mm, timeStemp: 3546111752, mcOn: true
Timestamp: 2024-11-28 15:08:51.114, Ranging failed for one or more APs
Label: 11, Timestamp: 2024-11-28 15:08:51.114, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -67, Distance: 11860 mm, StdDev: 645 mm, timeStemp: 3546111752, mcOn: true
Timestamp: 2024-11-28 15:08:51.114, Ranging failed for one or more APs
Label: 11, Timestamp: 2024-11-28 15:08:51.114, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -660 mm, StdDev: 842 mm, timeStemp: 3546111752, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6782 mm, StdDev: 190 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6782 mm, StdDev: 190 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -67, Distance: 11098 mm, StdDev: 486 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6782 mm, StdDev: 190 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -67, Distance: 11098 mm, StdDev: 486 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 5093 mm, StdDev: 743 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6782 mm, StdDev: 190 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -67, Distance: 11098 mm, StdDev: 486 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 5093 mm, StdDev: 743 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.381, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -47, Distance: -660 mm, StdDev: 793 mm, timeStemp: 3546112016, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.503, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 198 mm, timeStemp: 3546112139, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.503, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 198 mm, timeStemp: 3546112139, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.503, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 11255 mm, StdDev: 430 mm, timeStemp: 3546112139, mcOn: true
Label: 11, Timestamp: 2024-11-28 15:08:51.503, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -74, Distance: 6811 mm, StdDev: 198 mm, timeStemp: 3546112139, mcOn: true
