Starting Wi-Fi RTT Ranging...
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 5962 mm, StdDev: 1235 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 5962 mm, StdDev: 1235 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 2705 mm, StdDev: 630 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 5962 mm, StdDev: 1235 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 2705 mm, StdDev: 630 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -56, Distance: 1772 mm, StdDev: 162 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 5962 mm, StdDev: 1235 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 2705 mm, StdDev: 630 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -56, Distance: 1772 mm, StdDev: 162 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:37.976, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -70, Distance: 4852 mm, StdDev: 105 mm, timeStemp: 5537498615, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 8608 mm, StdDev: 126 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 8608 mm, StdDev: 126 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 2666 mm, StdDev: 583 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 8608 mm, StdDev: 126 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 2666 mm, StdDev: 583 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 1772 mm, StdDev: 108 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 8608 mm, StdDev: 126 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 2666 mm, StdDev: 583 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -57, Distance: 1772 mm, StdDev: 108 mm, timeStemp: 5537498735, mcOn: true
Label: 33, Timestamp: 2024-12-21 16:18:38.096, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -68, Distance: 4823 mm, StdDev: 97 mm, timeStemp: 5537498735, mcOn: true
