Starting Wi-Fi RTT Ranging...
Label: 1-3, Timestamp: 2025-01-10 12:34:09.506, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9658 mm, StdDev: 1483 mm, timeStemp: 7252039898, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.506, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9658 mm, StdDev: 1483 mm, timeStemp: 7252039898, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.506, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -53, Distance: -264 mm, StdDev: 1985 mm, timeStemp: 7252039898, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.614, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9541 mm, StdDev: 1449 mm, timeStemp: 7252040007, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.614, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 9541 mm, StdDev: 1449 mm, timeStemp: 7252040007, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.614, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -51, Distance: -69 mm, StdDev: 1333 mm, timeStemp: 7252040007, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.743, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9463 mm, StdDev: 1036 mm, timeStemp: 7252040135, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.743, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9463 mm, StdDev: 1036 mm, timeStemp: 7252040135, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.743, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -53, Distance: -460 mm, StdDev: 1411 mm, timeStemp: 7252040135, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.865, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9814 mm, StdDev: 1040 mm, timeStemp: 7252040258, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.865, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 9814 mm, StdDev: 1040 mm, timeStemp: 7252040258, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.865, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -51, Distance: -333 mm, StdDev: 1389 mm, timeStemp: 7252040258, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.977, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10010 mm, StdDev: 983 mm, timeStemp: 7252040370, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.977, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10010 mm, StdDev: 983 mm, timeStemp: 7252040370, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:09.977, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -56, Distance: 399 mm, StdDev: 1441 mm, timeStemp: 7252040370, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:10.098, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 10491 mm, StdDev: 743 mm, timeStemp: 7252040491, mcOn: true
