Starting Wi-Fi RTT Ranging...
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 4702 mm, StdDev: 631 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 4702 mm, StdDev: 631 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 2432 mm, StdDev: 597 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 4702 mm, StdDev: 631 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 2432 mm, StdDev: 597 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 2866 mm, StdDev: 650 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 4702 mm, StdDev: 631 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 2432 mm, StdDev: 597 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 2866 mm, StdDev: 650 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.652, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -67, Distance: 7235 mm, StdDev: 152 mm, timeStemp: 7253856044, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.777, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 4546 mm, StdDev: 790 mm, timeStemp: 7253856169, mcOn: true
Label: 11-9, Timestamp: 2025-01-10 13:04:25.777, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -64, Distance: 4546 mm, StdDev: 790 mm, timeStemp: 7253856169, mcOn: true
