Starting Wi-Fi RTT Ranging...
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: -336 mm, StdDev: 242 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: -336 mm, StdDev: 242 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5127 mm, StdDev: 781 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: -336 mm, StdDev: 242 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5127 mm, StdDev: 781 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 12817 mm, StdDev: 192 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: -336 mm, StdDev: 242 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5127 mm, StdDev: 781 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 12817 mm, StdDev: 192 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.691, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -66, Distance: 2977 mm, StdDev: 304 mm, timeStemp: 6672657084, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -610 mm, StdDev: 365 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -610 mm, StdDev: 365 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 5361 mm, StdDev: 661 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -610 mm, StdDev: 365 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 5361 mm, StdDev: 661 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5249 mm, StdDev: 153 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -610 mm, StdDev: 365 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 5361 mm, StdDev: 661 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5249 mm, StdDev: 153 mm, timeStemp: 6672657213, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.820, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -67, Distance: 2508 mm, StdDev: 558 mm, timeStemp: 6672657212, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 597 mm, timeStemp: 6672657375, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 597 mm, timeStemp: 6672657375, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 5400 mm, StdDev: 760 mm, timeStemp: 6672657374, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:46.984, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 597 mm, timeStemp: 6672657375, mcOn: true
