Starting Wi-Fi RTT Ranging...
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7514 mm, StdDev: 1841 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7514 mm, StdDev: 1841 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10166 mm, StdDev: 432 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7514 mm, StdDev: 1841 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10166 mm, StdDev: 432 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 3491 mm, StdDev: 996 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7514 mm, StdDev: 1841 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10166 mm, StdDev: 432 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 3491 mm, StdDev: 996 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.103, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: -767 mm, StdDev: 741 mm, timeStemp: 3546081741, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:08:21.329, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -73, Distance: 7016 mm, StdDev: 2297 mm, timeStemp: 3546081968, mcOn: true
