Starting Wi-Fi RTT Ranging...
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -258 mm, StdDev: 395 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -258 mm, StdDev: 395 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6059 mm, StdDev: 126 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -258 mm, StdDev: 395 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6059 mm, StdDev: 126 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 12202 mm, StdDev: 288 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -258 mm, StdDev: 395 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6059 mm, StdDev: 126 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 12202 mm, StdDev: 288 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:42.937, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -71, Distance: 3089 mm, StdDev: 464 mm, timeStemp: 3546643569, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 409 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 409 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 225 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 409 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 225 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 12143 mm, StdDev: 130 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 409 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 225 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 12143 mm, StdDev: 130 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.029, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -71, Distance: 2757 mm, StdDev: 420 mm, timeStemp: 3546643669, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 289 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 289 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 231 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 289 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 231 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 4975 mm, StdDev: 830 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: -180 mm, StdDev: 289 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6138 mm, StdDev: 231 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 4975 mm, StdDev: 830 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.196, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -71, Distance: 2386 mm, StdDev: 556 mm, timeStemp: 3546643826, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 54 mm, StdDev: 202 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 54 mm, StdDev: 202 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6059 mm, StdDev: 758 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 54 mm, StdDev: 202 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6059 mm, StdDev: 758 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 5093 mm, StdDev: 2159 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: 54 mm, StdDev: 202 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6059 mm, StdDev: 758 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 5093 mm, StdDev: 2159 mm, timeStemp: 3546643937, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.308, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -71, Distance: 2464 mm, StdDev: 508 mm, timeStemp: 3546643937, mcOn: true
