Starting Wi-Fi RTT Ranging...
Label: 38, Timestamp: 2024-12-14 17:56:47.291, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 4369 mm, StdDev: 175 mm, timeStemp: 4938587932, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.291, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 4369 mm, StdDev: 175 mm, timeStemp: 4938587932, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.291, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -62, Distance: 3948 mm, StdDev: 139 mm, timeStemp: 4938587932, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.357, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 5811 mm, StdDev: 177 mm, timeStemp: 4938587997, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.357, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 5811 mm, StdDev: 177 mm, timeStemp: 4938587997, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.357, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4299 mm, StdDev: 84 mm, timeStemp: 4938587997, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.555, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 3379 mm, StdDev: 900 mm, timeStemp: 4938588194, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.555, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 3379 mm, StdDev: 900 mm, timeStemp: 4938588194, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.555, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4266 mm, StdDev: 394 mm, timeStemp: 4938588194, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.694, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 2534 mm, StdDev: 1322 mm, timeStemp: 4938588333, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:47.694, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 2534 mm, StdDev: 1322 mm, timeStemp: 4938588333, mcOn: true
