Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
43,2024-12-14 18:22:57.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-58,161,2519,4940158395,True,9.672014925373134
43,2024-12-14 18:22:57.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-58,161,2519,4940158395,True,9.672014925373134
43,2024-12-14 18:22:57.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5882,660,4940158395,True,5288.585142158362
43,2024-12-14 18:22:57.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-58,161,2519,4940158395,True,9.672014925373134
43,2024-12-14 18:22:57.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5882,660,4940158395,True,5288.585142158362
43,2024-12-14 18:22:57.755,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,5014,552,4940158395,True,4516.743801652892
43,2024-12-14 18:22:57.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-58,161,2519,4940158395,True,9.672014925373134
43,2024-12-14 18:22:57.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5882,660,4940158395,True,5288.585142158362
43,2024-12-14 18:22:57.755,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,5014,552,4940158395,True,4516.743801652892
43,2024-12-14 18:22:57.755,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,2586,1082,4940158395,True,1823.1723009814611
43,2024-12-14 18:22:57.878,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,630,2328,4940158518,True,134.1784989858012
43,2024-12-14 18:22:57.878,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,630,2328,4940158518,True,134.1784989858012
43,2024-12-14 18:22:57.878,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,5635,556,4940158518,True,5128.933128735261
43,2024-12-14 18:22:57.878,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,630,2328,4940158518,True,134.1784989858012
43,2024-12-14 18:22:57.878,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,5635,556,4940158518,True,5128.933128735261
43,2024-12-14 18:22:57.878,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4936,441,4940158518,True,4531.169053375488
43,2024-12-14 18:22:57.878,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,630,2328,4940158518,True,134.1784989858012
43,2024-12-14 18:22:57.878,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,5635,556,4940158518,True,5128.933128735261
43,2024-12-14 18:22:57.878,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4936,441,4940158518,True,4531.169053375488
43,2024-12-14 18:22:57.878,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,2664,1107,4940158518,True,1881.9665871121717
43,2024-12-14 18:22:58.004,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,2944,1518,4940158644,True,1942.4329896907216
43,2024-12-14 18:22:58.004,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,2944,1518,4940158644,True,1942.4329896907216
43,2024-12-14 18:22:58.004,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5752,472,4940158644,True,5315.794344473008
43,2024-12-14 18:22:58.004,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,2944,1518,4940158644,True,1942.4329896907216
43,2024-12-14 18:22:58.004,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5752,472,4940158644,True,5315.794344473008
43,2024-12-14 18:22:58.004,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4975,151,4940158644,True,4828.448107686305
43,2024-12-14 18:22:58.004,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,2944,1518,4940158644,True,1942.4329896907216
43,2024-12-14 18:22:58.004,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5752,472,4940158644,True,5315.794344473008
43,2024-12-14 18:22:58.004,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4975,151,4940158644,True,4828.448107686305
43,2024-12-14 18:22:58.004,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,2313,1504,4940158644,True,1401.6161907257008
43,2024-12-14 18:22:58.125,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,-395,445,4940158765,True,-185.74404761904765
43,2024-12-14 18:22:58.125,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,-395,445,4940158765,True,-185.74404761904765
43,2024-12-14 18:22:58.125,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-45,6542,345,4940158765,True,6214.282561347466
43,2024-12-14 18:22:58.125,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,-395,445,4940158765,True,-185.74404761904765
43,2024-12-14 18:22:58.125,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-45,6542,345,4940158765,True,6214.282561347466
43,2024-12-14 18:22:58.125,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4975,1051,4940158765,True,4107.305841354132
43,2024-12-14 18:22:58.125,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,-395,445,4940158765,True,-185.74404761904765
43,2024-12-14 18:22:58.125,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-45,6542,345,4940158765,True,6214.282561347466
43,2024-12-14 18:22:58.125,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4975,1051,4940158765,True,4107.305841354132
43,2024-12-14 18:22:58.125,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,2703,888,4940158765,True,2034.5889724310778
43,2024-12-14 18:22:58.250,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,93,198,4940158889,True,29.721649484536083
43,2024-12-14 18:22:58.250,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,93,198,4940158889,True,29.721649484536083
43,2024-12-14 18:22:58.250,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-53,5557,592,4940158889,True,5021.995283785982
43,2024-12-14 18:22:58.250,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,93,198,4940158889,True,29.721649484536083
43,2024-12-14 18:22:58.250,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-53,5557,592,4940158889,True,5021.995283785982
43,2024-12-14 18:22:58.250,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,2899,885,4940158889,True,2220.983350951374
43,2024-12-14 18:22:58.372,MCSLab RTT AP2,24:29:34:e1:ef:d4,-54,-258,311,4940159011,True,-116.9841827768014
43,2024-12-14 18:22:58.372,MCSLab RTT AP2,24:29:34:e1:ef:d4,-54,-258,311,4940159011,True,-116.9841827768014
43,2024-12-14 18:22:58.372,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5674,538,4940159011,True,5182.5943335479715
43,2024-12-14 18:22:58.372,MCSLab RTT AP2,24:29:34:e1:ef:d4,-54,-258,311,4940159011,True,-116.9841827768014
43,2024-12-14 18:22:58.372,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5674,538,4940159011,True,5182.5943335479715
43,2024-12-14 18:22:58.372,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4780,1584,4940159011,True,3590.2576995600252
43,2024-12-14 18:22:58.372,MCSLab RTT AP2,24:29:34:e1:ef:d4,-54,-258,311,4940159011,True,-116.9841827768014
43,2024-12-14 18:22:58.372,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5674,538,4940159011,True,5182.5943335479715
43,2024-12-14 18:22:58.372,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4780,1584,4940159011,True,3590.2576995600252
43,2024-12-14 18:22:58.372,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,4708,2071,4940159011,True,3269.6952352854405
43,2024-12-14 18:22:58.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,-297,347,4940159134,True,-136.97049689440993
43,2024-12-14 18:22:58.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,-297,347,4940159134,True,-136.97049689440993
43,2024-12-14 18:22:58.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5518,662,4940159134,True,4926.913268608415
43,2024-12-14 18:22:58.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,-297,347,4940159134,True,-136.97049689440993
43,2024-12-14 18:22:58.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5518,662,4940159134,True,4926.913268608415
43,2024-12-14 18:22:58.496,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,5132,1435,4940159134,True,4010.5716461093343
43,2024-12-14 18:22:58.496,MCSLab RTT AP2,24:29:34:e1:ef:d4,-55,-297,347,4940159134,True,-136.97049689440993
43,2024-12-14 18:22:58.496,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-51,5518,662,4940159134,True,4926.913268608415
43,2024-12-14 18:22:58.496,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,5132,1435,4940159134,True,4010.5716461093343
43,2024-12-14 18:22:58.496,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2938,679,4940159134,True,2386.4650262648606
43,2024-12-14 18:22:58.620,MCSLab RTT AP2,24:29:34:e1:ef:d4,-53,-102,369,4940159259,True,-22.089171974522294
