timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
493608176,18,3174.0,3530.0,-616.0,7861.0,-56.0,-68.0,-49.0,-62.0,1924.0,89.0,672.0,474.0
493608188,18,3335.0,3647.0,-918.0,7803.0,-60.0,-69.0,-43.0,-61.0,1981.0,512.0,779.0,200.0
493608201,18,3178.0,3257.0,-499.0,7861.0,-64.0,-69.0,-49.0,-61.0,1756.0,380.0,663.0,174.0
493608213,18,3100.0,3296.0,-957.0,7891.0,-63.0,-70.0,-44.0,-62.0,1913.0,1200.0,923.0,242.0
493608225,18,2749.0,3296.0,-577.0,8017.0,-62.0,-71.0,-53.0,-58.0,1910.0,1036.0,694.0,319.0
493608238,18,3174.0,3179.0,-499.0,8125.0,-58.0,-69.0,-49.0,-60.0,2250.0,746.0,656.0,191.0
493608250,18,3061.0,3452.0,-342.0,8057.0,-64.0,-70.0,-49.0,-61.0,1939.0,455.0,476.0,141.0
493608262,18,3178.0,3218.0,-538.0,8135.0,-65.0,-70.0,-49.0,-60.0,1552.0,782.0,668.0,444.0
493608275,18,3178.0,3257.0,-499.0,8174.0,-63.0,-71.0,-48.0,-59.0,1713.0,504.0,657.0,353.0
493608287,18,3256.0,3296.0,-694.0,7673.0,-63.0,-71.0,-50.0,-56.0,1680.0,516.0,736.0,1233.0
493608301,18,2983.0,3257.0,-460.0,7399.0,-64.0,-73.0,-49.0,-58.0,1581.0,533.0,619.0,1319.0
493608316,18,3061.0,3296.0,-144.0,8164.0,-64.0,-70.0,-47.0,-58.0,1742.0,685.0,601.0,645.0
493608330,18,2944.0,3257.0,-655.0,8174.0,-56.0,-71.0,-49.0,-60.0,1511.0,763.0,716.0,476.0
493608345,18,3335.0,3139.0,-538.0,8330.0,-62.0,-71.0,-49.0,-59.0,1505.0,719.0,691.0,469.0
493608359,18,3022.0,3178.0,-460.0,8291.0,-63.0,-71.0,-49.0,-60.0,1746.0,743.0,610.0,550.0
493608373,18,3257.0,3374.0,-538.0,8184.0,-63.0,-71.0,-49.0,-59.0,1571.0,804.0,671.0,143.0
493608388,18,2905.0,3374.0,-359.0,8069.0,-63.0,-70.0,-45.0,-57.0,1833.0,619.0,692.0,336.0
493608402,18,3525.0,3257.0,-538.0,8096.0,-54.0,-69.0,-49.0,-60.0,1821.0,779.0,626.0,139.0
493608417,18,2983.0,3296.0,-460.0,8252.0,-62.0,-69.0,-49.0,-59.0,1764.0,878.0,632.0,216.0
493608431,18,3100.0,3374.0,-957.0,8213.0,-62.0,-69.0,-44.0,-57.0,1692.0,892.0,938.0,459.0
493608446,18,3100.0,3296.0,-577.0,8252.0,-62.0,-69.0,-49.0,-60.0,1722.0,964.0,656.0,235.0
493608461,18,3022.0,3413.0,-577.0,8096.0,-62.0,-69.0,-49.0,-59.0,1876.0,644.0,630.0,396.0
493608476,18,3139.0,3452.0,-421.0,8096.0,-62.0,-69.0,-47.0,-59.0,1716.0,708.0,593.0,400.0
493608490,18,3061.0,3335.0,-499.0,8186.0,-62.0,-69.0,-49.0,-58.0,1787.0,650.0,644.0,279.0
493608504,18,,,-499.0,8252.0,,,-49.0,-59.0,,,650.0,157.0
493608505,18,3408.0,3296.0,,,-55.0,-69.0,,,1468.0,746.0,,
493608519,18,3061.0,3296.0,-577.0,8174.0,-62.0,-69.0,-49.0,-59.0,1859.0,817.0,691.0,320.0
493608532,18,3022.0,3296.0,-655.0,8135.0,-63.0,-70.0,-49.0,-59.0,1761.0,746.0,708.0,383.0
493608546,18,3139.0,3296.0,-577.0,8369.0,-62.0,-69.0,-49.0,-59.0,1542.0,784.0,676.0,399.0
493608560,18,3100.0,3296.0,-420.0,8252.0,-62.0,-69.0,-49.0,-60.0,1735.0,671.0,586.0,531.0
493608573,18,3100.0,3413.0,-460.0,8096.0,-62.0,-69.0,-49.0,-60.0,1677.0,614.0,574.0,382.0
493608586,18,3291.0,3218.0,-694.0,8382.0,-54.0,-69.0,-49.0,-57.0,1500.0,753.0,711.0,494.0
493608599,18,3022.0,3335.0,-460.0,8330.0,-62.0,-69.0,-49.0,-59.0,1760.0,741.0,592.0,362.0
493608614,18,3061.0,3257.0,-996.0,8135.0,-63.0,-70.0,-43.0,-60.0,1827.0,782.0,919.0,360.0
493608628,18,3178.0,3218.0,-460.0,8174.0,-62.0,-70.0,-49.0,-60.0,1626.0,693.0,597.0,517.0
493608643,18,2983.0,3139.0,-460.0,8213.0,-62.0,-70.0,-49.0,-58.0,1813.0,661.0,619.0,583.0
493608658,18,2905.0,3217.0,-577.0,8213.0,-62.0,-70.0,-49.0,-60.0,1876.0,680.0,659.0,396.0
493608672,18,3061.0,3139.0,-421.0,8135.0,-62.0,-70.0,-49.0,-60.0,1684.0,749.0,633.0,355.0
493608687,18,3139.0,3217.0,-499.0,8252.0,-62.0,-70.0,-49.0,-59.0,1644.0,768.0,641.0,223.0
493608702,18,3022.0,3257.0,-215.0,8174.0,-62.0,-70.0,-44.0,-59.0,1789.0,760.0,462.0,172.0
493608717,18,3061.0,3257.0,-616.0,8174.0,-63.0,-70.0,-49.0,-60.0,1656.0,732.0,701.0,332.0
493608731,18,3139.0,3296.0,-577.0,8291.0,-63.0,-71.0,-49.0,-60.0,1616.0,641.0,705.0,356.0
493608746,18,2905.0,3257.0,-460.0,7991.0,-63.0,-71.0,-49.0,-56.0,1720.0,688.0,576.0,480.0
493608761,18,3022.0,3296.0,-460.0,8135.0,-63.0,-71.0,-49.0,-60.0,1776.0,644.0,628.0,306.0
493608776,18,3022.0,3257.0,-655.0,8174.0,-63.0,-71.0,-49.0,-59.0,1706.0,648.0,701.0,318.0
493608791,18,3100.0,3218.0,-499.0,8252.0,-63.0,-71.0,-49.0,-59.0,1738.0,686.0,672.0,261.0
