timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
493453295,1,718.0,8178.0,4852.0,7432.0,-60.0,-68.0,-59.0,-61.0,264.0,1502.0,934.0,325.0
493449532,1,639.0,8139.0,4911.0,6930.0,-62.0,-70.0,-59.0,-59.0,418.0,1466.0,485.0,799.0
493453815,1,678.0,8139.0,4647.0,7471.0,-61.0,-69.0,-55.0,-62.0,311.0,91.0,600.0,385.0
493452063,1,718.0,8022.0,6219.0,7627.0,-62.0,-69.0,-55.0,-63.0,324.0,1523.0,2649.0,268.0
493451194,1,561.0,8335.0,4471.0,7471.0,-61.0,-70.0,-55.0,-62.0,343.0,1195.0,1079.0,312.0
493451796,1,600.0,8139.0,4881.0,7510.0,-62.0,-69.0,-60.0,-63.0,440.0,1447.0,706.0,286.0
493451403,1,542.0,8022.0,4735.0,7510.0,-61.0,-70.0,-61.0,-62.0,367.0,1328.0,954.0,319.0
493450420,1,127.0,8178.0,4793.0,7549.0,-53.0,-70.0,-59.0,-62.0,808.0,1184.0,636.0,291.0
493454696,1,639.0,8257.0,4617.0,7471.0,-62.0,-70.0,-59.0,-61.0,348.0,1365.0,1008.0,342.0
493449405,1,561.0,8296.0,4910.0,7588.0,-61.0,-70.0,-59.0,-63.0,409.0,1385.0,826.0,234.0
493449996,1,678.0,8217.0,4852.0,7392.0,-60.0,-70.0,-59.0,-62.0,318.0,1384.0,759.0,312.0
493451361,1,,,4705.0,7588.0,,,-61.0,-61.0,,,949.0,278.0
493450977,1,678.0,8296.0,4618.0,7588.0,-61.0,-70.0,-61.0,-64.0,374.0,1431.0,1027.0,329.0
493454020,1,561.0,8139.0,4911.0,7354.0,-61.0,-70.0,-60.0,-62.0,335.0,1475.0,739.0,437.0
493454383,1,757.0,8100.0,4442.0,7705.0,-61.0,-70.0,-61.0,-62.0,342.0,1499.0,1195.0,300.0
493449761,1,678.0,8061.0,5145.0,7627.0,-61.0,-70.0,-59.0,-62.0,379.0,1502.0,771.0,280.0
493454208,1,600.0,8374.0,4735.0,7510.0,-62.0,-70.0,-55.0,-61.0,403.0,1432.0,564.0,346.0
493453048,1,522.0,8178.0,4588.0,7666.0,-61.0,-70.0,-60.0,-60.0,393.0,1473.0,1028.0,236.0
493455118,1,,8178.0,,,,-70.0,,,,1210.0,,
493450143,1,49.0,8217.0,4735.0,7314.0,-52.0,-70.0,-59.0,-63.0,988.0,1165.0,588.0,286.0
