Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
45,2024-12-21 16:37:45.388,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,1538,152,5538646027,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,1538,152,5538646027,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,6953,159,5538646026,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,1538,152,5538646027,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,6953,159,5538646026,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,5796,2173,5538646026,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,1538,152,5538646027,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,6953,159,5538646026,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,5796,2173,5538646026,true
45,2024-12-21 16:37:45.388,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,2782,409,5538646026,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1147,238,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1147,238,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6865,88,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1147,238,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6865,88,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,5639,2234,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1147,238,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6865,88,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,5639,2234,5538646149,true
45,2024-12-21 16:37:45.510,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,2586,445,5538646149,true
