Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP2,24:29:34:e1:ef:d4,-57,1264,136,6054247303,True,1141.2114285714288
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP2,24:29:34:e1:ef:d4,-57,1264,136,6054247303,True,1141.2114285714288
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,4756,246,6054247303,True,4522.098360655737
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP2,24:29:34:e1:ef:d4,-57,1264,136,6054247303,True,1141.2114285714288
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,4756,246,6054247303,True,4522.098360655737
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3764,567,6054247303,True,3271.2297390902795
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP2,24:29:34:e1:ef:d4,-57,1264,136,6054247303,True,1141.2114285714288
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,4756,246,6054247303,True,4522.098360655737
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3764,567,6054247303,True,3271.2297390902795
11-5,2024-12-27 15:51:06.664,MCSLab RTT AP3,b0:e4:d5:88:16:86,-68,2662,3282,6054247303,True,1192.1675639300136
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP2,24:29:34:e1:ef:d4,-56,1069,196,6054247429,True,903.3683794466403
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP2,24:29:34:e1:ef:d4,-56,1069,196,6054247429,True,903.3683794466403
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,4756,369,6054247429,True,4413.567999999999
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP2,24:29:34:e1:ef:d4,-56,1069,196,6054247429,True,903.3683794466403
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,4756,369,6054247429,True,4413.567999999999
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,3686,656,6054247429,True,3129.1100875172733
11-5,2024-12-27 15:51:06.790,MCSLab RTT AP2,24:29:34:e1:ef:d4,-56,1069,196,6054247429,True,903.3683794466403
