Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7593,74,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7593,74,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,6016,107,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7593,74,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,6016,107,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1195,488,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7593,74,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,6016,107,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1195,488,6048469762,true
3-11,2024-12-27 14:14:49.124,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,4110,533,6048469762,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7554,137,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7554,137,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6171,110,6048469889,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7554,137,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6171,110,6048469889,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1274,976,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7554,137,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6171,110,6048469889,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1274,976,6048469890,true
3-11,2024-12-27 14:14:49.251,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,4071,498,6048469889,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7866,261,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7866,261,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6025,151,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7866,261,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6025,151,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1195,865,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7866,261,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,6025,151,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1195,865,6048470013,true
3-11,2024-12-27 14:14:49.374,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,4305,538,6048470013,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7749,389,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7749,389,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6064,113,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7749,389,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6064,113,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1235,317,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,7749,389,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6064,113,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-1235,317,6048470131,true
3-11,2024-12-27 14:14:49.492,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,4227,509,6048470131,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7475,85,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7475,85,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6194,1516,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7475,85,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6194,1516,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP1,24:29:34:e2:4c:36,-45,-1078,360,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,7475,85,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,6194,1516,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP1,24:29:34:e2:4c:36,-45,-1078,360,6048470255,true
3-11,2024-12-27 14:14:49.617,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,4188,562,6048470255,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6538,631,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6538,631,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5843,341,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6538,631,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5843,341,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP1,24:29:34:e2:4c:36,-55,-1000,404,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,6538,631,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,5843,341,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP1,24:29:34:e2:4c:36,-55,-1000,404,6048470379,true
3-11,2024-12-27 14:14:49.755,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,4344,406,6048470379,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7397,247,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7397,247,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7158,2129,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7397,247,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7158,2129,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,-1195,431,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,7397,247,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7158,2129,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,-1195,431,6048470505,true
3-11,2024-12-27 14:14:49.868,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,4266,384,6048470505,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6811,370,6048470627,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6811,370,6048470627,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,6142,142,6048470627,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,6811,370,6048470627,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,6142,142,6048470627,true
3-11,2024-12-27 14:14:49.988,MCSLab RTT AP1,24:29:34:e2:4c:36,-55,-1117,330,6048470627,true
