timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
605355781,11-11,2905.0,5952.0,6434.0,1885.0,-59.0,-73.0,-62.0,-53.0,405.0,369.0,149.0,466.0
605355793,11-11,2905.0,6069.0,6237.0,2353.0,-59.0,-74.0,-59.0,-50.0,373.0,746.0,658.0,151.0
605355806,11-11,2788.0,5434.0,6463.0,1831.0,-59.0,-72.0,-59.0,-51.0,474.0,237.0,584.0,1101.0
605355819,11-11,2905.0,5327.0,6180.0,2065.0,-55.0,-69.0,-60.0,-53.0,544.0,1360.0,175.0,2165.0
605355832,11-11,3139.0,5522.0,6375.0,2861.0,-58.0,-69.0,-59.0,-52.0,286.0,319.0,118.0,367.0
605355844,11-11,2905.0,5835.0,6102.0,2236.0,-59.0,-71.0,-58.0,-55.0,385.0,1565.0,721.0,328.0
605355857,11-11,3022.0,5327.0,6668.0,2275.0,-58.0,-69.0,-59.0,-55.0,342.0,1492.0,209.0,475.0
605355870,11-11,3022.0,5483.0,6580.0,1338.0,-58.0,-75.0,-59.0,-53.0,299.0,727.0,512.0,629.0
605355885,11-11,2353.0,5835.0,6493.0,1038.0,-54.0,-70.0,-60.0,-48.0,896.0,732.0,153.0,952.0
605355900,11-11,2905.0,5483.0,6610.0,1455.0,-57.0,-71.0,-60.0,-53.0,346.0,897.0,198.0,566.0
605355915,11-11,2866.0,5483.0,6668.0,1328.0,-59.0,-66.0,-60.0,-51.0,423.0,1267.0,127.0,626.0
605355930,11-11,3022.0,5640.0,6649.0,1455.0,-58.0,-66.0,-60.0,-53.0,286.0,569.0,213.0,535.0
605355942,11-11,2944.0,5639.0,6493.0,1533.0,-53.0,-69.0,-60.0,-54.0,306.0,1017.0,156.0,867.0
605355958,11-11,2983.0,5718.0,6532.0,765.0,-58.0,-69.0,-60.0,-52.0,413.0,1012.0,136.0,1028.0
