timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
725393524,11-8,5943.388549872407,3176.165201576235,3530.664820675105,4462.74531351002,-75.0,-63.0,-51.0,-65.0
725393535,11-8,8647.44330813695,2823.171335504886,3486.068937982433,4307.32937219731,-69.0,-63.0,-49.0,-65.0
725393545,11-8,4042.453823720026,1851.1172134168817,2821.791607193834,4084.6717980295566,-60.0,-63.0,-48.0,-60.0
725393574,11-8,2634.973939824686,1599.5200138026223,3021.110460251046,4360.132746983023,-66.0,-63.0,-47.0,-59.0
725393601,11-8,4424.74500507958,3056.564943584361,2938.9334541688245,4370.962082393933,-65.0,-63.0,-46.0,-56.0
725393628,11-8,2886.417629730342,2152.122810186021,3441.767961411526,4420.637790460661,-66.0,-58.0,-51.0,-60.0
725393656,11-8,3167.56584901167,1756.2713019768237,3034.437131443789,4158.110882956879,-68.0,-63.0,-47.0,-58.0
725393669,11-8,3808.259329839606,2371.994715984148,2771.42615658363,4634.847739095639,-68.0,-63.0,-50.0,-59.0
725393683,11-8,3295.118621892717,2564.204966991512,3371.5906206896557,4658.147798109793,-68.0,-63.0,-48.0,-59.0
725393697,11-8,2840.596901072706,2478.450061349693,3376.862286970864,4646.763909774437,-67.0,-64.0,-47.0,-57.0
725393712,11-8,2540.602432179607,2300.7570162481534,3328.4568611339364,4321.254432989691,-66.0,-63.0,-49.0,-59.0
725393725,11-8,,,,4477.647918781726,,,,-59.0
725393726,11-8,3719.405636208369,2369.893495625713,3381.1783403656823,,-67.0,-63.0,-49.0,
725393740,11-8,3430.140406515785,2311.855287569573,2994.515178050204,4569.799340829779,-67.0,-63.0,-49.0,-57.0
725393755,11-8,3403.823720667232,2819.565605806812,3463.10618729097,4341.484521384929,-67.0,-63.0,-49.0,-59.0
725393771,11-8,3935.773189326556,2234.865716429107,3520.5858912224016,4315.026559604694,-66.0,-64.0,-44.0,-57.0
725393785,11-8,3439.428098913215,2653.724234853217,3444.169197396963,4490.331464049669,-66.0,-64.0,-49.0,-59.0
725393802,11-8,3388.70837867247,2510.8165252906065,3190.1763062307905,4566.434782608696,-61.0,-58.0,-50.0,-59.0
725393817,11-8,3250.406707317073,2181.0991847826085,3192.745376955904,4487.671143671144,-58.0,-64.0,-48.0,-60.0
725393832,11-8,2938.0619575699134,2028.107118644068,3233.543188898329,4259.773170731707,-66.0,-64.0,-48.0,-58.0
725393848,11-8,3781.80585799724,1730.1782178217825,3477.1683547768966,4452.335150413891,-67.0,-64.0,-49.0,-60.0
725393860,11-8,2722.2643140920777,2187.263825634353,3410.8067334875354,4414.339303887646,-67.0,-63.0,-47.0,-59.0
725393874,11-8,1468.456228956229,1991.649800266312,3525.8897449521787,4544.581455633101,-58.0,-63.0,-49.0,-59.0
725393888,11-8,2866.873912020701,2332.492864254896,3319.248525695029,4559.1270254050805,-67.0,-63.0,-49.0,-59.0
725393902,11-8,2912.7863487611035,2655.479681978799,3344.6841818676826,4566.434782608696,-67.0,-63.0,-47.0,-59.0
725393916,11-8,3703.982333729216,1801.9666307857915,3381.122448979592,4332.868306801736,-67.0,-64.0,-49.0,-59.0
725393929,11-8,3344.214467298359,1991.8071952497376,3124.2630385487523,4567.349899799599,-67.0,-63.0,-48.0,-59.0
725393941,11-8,2764.137219324109,2167.8446995273466,3408.987237663074,4437.105835010061,-67.0,-63.0,-49.0,-60.0
725393958,11-8,2991.489196806012,2485.334603174603,3049.7689882487816,2392.218867924528,-66.0,-63.0,-49.0,-55.0
725393973,11-8,2966.409175593852,2335.739837398374,2627.636264336428,4359.241104294479,-66.0,-63.0,-44.0,-60.0
725393987,11-8,4028.308336605156,2332.492864254896,3022.9102272727273,4559.1270254050805,-60.0,-63.0,-49.0,-60.0
725394001,11-8,3843.6312109491214,2285.4637398373984,2720.9853883619585,4432.646432160804,-67.0,-63.0,-45.0,-60.0
725394016,11-8,3426.5382317801677,2260.4699260212287,3134.926052332196,4457.476237042832,-67.0,-63.0,-48.0,-57.0
725394033,11-8,3744.7957559681695,2349.3602047344853,2021.0204545454544,4367.381527749335,-67.0,-64.0,-44.0,-60.0
725394048,11-8,4107.472636123102,2715.449864498645,3323.2481947044666,4400.009941164536,-61.0,-63.0,-48.0,-60.0
725394062,11-8,3596.253918495298,2254.0603278688527,3288.7712854757933,4501.149367596869,-68.0,-64.0,-49.0,-59.0
725394076,11-8,3551.1704527651573,1825.6998272884284,3474.201308900523,4558.215200000001,-67.0,-63.0,-48.0,-58.0
725394089,11-8,3891.7289790935447,1992.4587312414733,3552.9865612648223,4477.776113441183,-58.0,-62.0,-49.0,-59.0
725394104,11-8,2857.6268585131893,1928.016171617162,2604.873849485652,4317.741340895281,-66.0,-63.0,-45.0,-59.0
725394119,11-8,2944.447069943289,1997.6347245409015,3178.63056792873,4577.593867569601,-67.0,-63.0,-49.0,-54.0
