timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
553292764,1-11,444.0,6841.0,5116.0,7353.0,-60.0,-71.0,-62.0,-50.0,809.0,705.0,996.0,210.0
553294970,1-11,366.0,6841.0,5242.0,7236.0,-59.0,-71.0,-66.0,-54.0,808.0,766.0,420.0,719.0
553296775,1-11,288.0,8569.0,4738.0,7217.0,-58.0,-71.0,-64.0,-56.0,506.0,531.0,2157.0,131.0
553291830,1-11,366.0,6958.0,6854.0,7327.0,-59.0,-71.0,-58.0,-52.0,842.0,680.0,1181.0,348.0
553291452,1-11,327.0,6899.0,6887.0,7275.0,-59.0,-71.0,-62.0,-54.0,907.0,706.0,741.0,451.0
553296577,1-11,405.0,6899.0,6073.0,7353.0,-59.0,-71.0,-60.0,-54.0,727.0,754.0,902.0,424.0
553296141,1-11,288.0,6928.0,7391.0,7314.0,-59.0,-71.0,-65.0,-55.0,798.0,784.0,472.0,798.0
553293817,1-11,483.0,7280.0,5711.0,7392.0,-60.0,-71.0,-64.0,-55.0,784.0,591.0,168.0,325.0
553290929,1-11,405.0,7134.0,,7060.0,-59.0,-71.0,,-49.0,732.0,609.0,,978.0
553291188,1-11,405.0,6841.0,6727.0,7353.0,-59.0,-71.0,-64.0,-54.0,823.0,769.0,961.0,301.0
553294417,1-11,-341.0,6723.0,5086.0,7366.0,-53.0,-71.0,-60.0,-52.0,1436.0,863.0,784.0,167.0
553296835,1-11,288.0,8491.0,3719.0,6949.0,-59.0,-71.0,-69.0,-51.0,445.0,1275.0,462.0,687.0
553295054,1-11,327.0,7456.0,5946.0,7314.0,-59.0,-71.0,-65.0,-54.0,809.0,481.0,871.0,716.0
553290790,1-11,,,6346.0,7353.0,,,-63.0,-54.0,,,609.0,324.0
553296656,1-11,210.0,7309.0,5379.0,7483.0,-60.0,-71.0,-65.0,-51.0,779.0,541.0,869.0,624.0
553294842,1-11,288.0,6899.0,4539.0,7353.0,-59.0,-71.0,-66.0,-55.0,842.0,784.0,465.0,775.0
553292108,1-11,366.0,6870.0,5419.0,7393.0,-59.0,-71.0,-56.0,-54.0,829.0,714.0,1916.0,439.0
553293863,1-11,366.0,7573.0,5829.0,7393.0,-60.0,-71.0,-65.0,-53.0,902.0,391.0,647.0,247.0
553295401,1-11,127.0,7134.0,5616.0,7314.0,-52.0,-71.0,-64.0,-53.0,1155.0,647.0,577.0,837.0
553291488,1-11,405.0,7134.0,7235.0,7275.0,-59.0,-71.0,-64.0,-54.0,796.0,582.0,609.0,427.0
553291687,1-11,405.0,,6063.0,7353.0,-60.0,,-59.0,-52.0,811.0,,1836.0,320.0
553296529,1-11,444.0,6841.0,6190.0,7353.0,-54.0,-71.0,-60.0,-54.0,715.0,771.0,685.0,804.0
553296483,1-11,288.0,7016.0,7313.0,7393.0,-59.0,-71.0,-64.0,-54.0,770.0,666.0,415.0,883.0
553295447,1-11,444.0,7075.0,4618.0,7275.0,-59.0,-71.0,-67.0,-55.0,679.0,679.0,1195.0,815.0
553295242,1-11,405.0,6899.0,5379.0,7158.0,-59.0,-71.0,-66.0,-55.0,763.0,771.0,902.0,845.0
553291763,1-11,327.0,6753.0,6571.0,7275.0,-59.0,-71.0,-63.0,-50.0,854.0,794.0,972.0,415.0
553290458,1-11,327.0,7514.0,,7210.0,-59.0,-71.0,,-53.0,862.0,500.0,,723.0
553292007,1-11,405.0,6870.0,7118.0,7353.0,-60.0,-71.0,-63.0,-54.0,795.0,731.0,476.0,356.0
553295803,1-11,288.0,6723.0,5868.0,7275.0,-53.0,-71.0,-65.0,-54.0,930.0,875.0,837.0,874.0
553291553,1-11,405.0,7192.0,5047.0,7353.0,-59.0,-71.0,-64.0,-54.0,855.0,555.0,871.0,967.0
553293271,1-11,483.0,6899.0,3014.0,7314.0,-59.0,-71.0,-56.0,-54.0,808.0,656.0,2084.0,274.0
553291572,1-11,366.0,7104.0,5243.0,7314.0,-59.0,-71.0,-58.0,-51.0,842.0,626.0,719.0,657.0
553291205,1-11,249.0,6811.0,7157.0,7171.0,-60.0,-71.0,-63.0,-53.0,874.0,722.0,481.0,461.0
553293674,1-11,444.0,7104.0,6325.0,7210.0,-60.0,-71.0,-58.0,-52.0,924.0,630.0,3188.0,493.0
553296727,1-11,405.0,7749.0,4266.0,7314.0,-59.0,-71.0,-66.0,-59.0,462.0,417.0,2149.0,280.0
553295787,1-11,444.0,7016.0,5448.0,7483.0,-59.0,-71.0,-62.0,-53.0,739.0,677.0,738.0,806.0
553291506,1-11,405.0,7104.0,7196.0,8024.0,-59.0,-71.0,-59.0,-50.0,800.0,587.0,1689.0,652.0
553294209,1-11,-419.0,8452.0,6024.0,7353.0,-55.0,-71.0,-65.0,-53.0,1392.0,1993.0,597.0,388.0
553290823,1-11,405.0,6753.0,5746.0,7353.0,-59.0,-71.0,-55.0,-51.0,664.0,794.0,1825.0,342.0
553296805,1-11,327.0,8530.0,4511.0,7334.0,-59.0,-71.0,-64.0,-56.0,457.0,1333.0,446.0,107.0
553295292,1-11,366.0,6987.0,5233.0,7314.0,-59.0,-71.0,-66.0,-54.0,800.0,697.0,962.0,809.0
553296791,1-11,171.0,8530.0,4969.0,7392.0,-58.0,-71.0,-68.0,-55.0,507.0,1228.0,1237.0,146.0
553293913,1-11,405.0,7221.0,,,-60.0,-70.0,,,761.0,579.0,,
553296267,1-11,288.0,6841.0,7196.0,7314.0,-60.0,-71.0,-59.0,-53.0,782.0,850.0,690.0,528.0
553290542,1-11,366.0,7485.0,6815.0,7236.0,-59.0,-71.0,-62.0,-51.0,662.0,460.0,228.0,792.0
553292355,1-11,327.0,6782.0,5594.0,7275.0,-59.0,-71.0,-64.0,-54.0,866.0,787.0,795.0,376.0
553292155,1-11,249.0,6870.0,5868.0,7246.0,-59.0,-71.0,-61.0,-54.0,841.0,722.0,851.0,521.0
553290300,1-11,1421.0,8301.0,,11025.0,-62.0,-70.0,,-59.0,15.0,81.0,,96.0
553290608,1-11,88.0,6782.0,4679.0,7392.0,-53.0,-71.0,-61.0,-49.0,1138.0,780.0,1180.0,604.0
553294546,1-11,,,5399.0,,,,-64.0,,,,321.0,
553294648,1-11,249.0,6841.0,7235.0,7471.0,-60.0,-71.0,-65.0,-55.0,908.0,771.0,466.0,462.0
553292971,1-11,483.0,6841.0,5256.0,7353.0,-60.0,-71.0,-60.0,-54.0,682.0,751.0,518.0,280.0
553296108,1-11,288.0,6841.0,7430.0,7600.0,-59.0,-71.0,-64.0,-52.0,782.0,766.0,473.0,682.0
553292653,1-11,405.0,6870.0,5145.0,7672.0,-59.0,-71.0,-64.0,-50.0,837.0,768.0,1045.0,422.0
553291608,1-11,483.0,7163.0,5125.0,7561.0,-55.0,-71.0,-64.0,-52.0,705.0,601.0,3072.0,390.0
553295886,1-11,405.0,7163.0,6532.0,7275.0,-59.0,-71.0,-66.0,-54.0,770.0,588.0,886.0,831.0
553292572,1-11,483.0,6841.0,4801.0,7353.0,-60.0,-71.0,-56.0,-54.0,729.0,769.0,1196.0,410.0
553290705,1-11,327.0,6987.0,4127.0,7275.0,-59.0,-71.0,-59.0,-54.0,718.0,714.0,2372.0,618.0
553296249,1-11,444.0,6782.0,7313.0,7393.0,-60.0,-71.0,-64.0,-49.0,724.0,762.0,382.0,1080.0
553293144,1-11,366.0,6811.0,6815.0,7405.0,-60.0,-71.0,-64.0,-52.0,1048.0,722.0,208.0,416.0
553294666,1-11,132.0,6694.0,6847.0,7236.0,-60.0,-71.0,-62.0,-54.0,960.0,820.0,897.0,708.0
553296299,1-11,288.0,6987.0,5136.0,7275.0,-60.0,-71.0,-61.0,-54.0,761.0,694.0,936.0,484.0
553294073,1-11,444.0,6665.0,4969.0,6977.0,-60.0,-71.0,-65.0,-51.0,792.0,920.0,1179.0,1035.0
553291590,1-11,483.0,7075.0,5282.0,7171.0,-59.0,-71.0,-59.0,-51.0,743.0,594.0,1143.0,532.0
553290986,1-11,327.0,7046.0,6698.0,7997.0,-59.0,-71.0,-63.0,-50.0,779.0,625.0,329.0,817.0
553294258,1-11,327.0,6782.0,5789.0,7715.0,-59.0,-71.0,-59.0,-51.0,816.0,792.0,610.0,649.0
553291652,1-11,366.0,7016.0,5164.0,7353.0,-59.0,-71.0,-64.0,-52.0,816.0,681.0,1668.0,331.0
553295987,1-11,327.0,6811.0,6727.0,7353.0,-59.0,-71.0,-60.0,-49.0,786.0,796.0,289.0,1383.0
