timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
33697606,1-1,4038.0,6811.0,164.0,9541.0,-60.0,-75.0,-52.0,-66.0,2040.0,85.0,630.0,1250.0
33695748,1-1,4116.0,6811.0,8.0,9580.0,-61.0,-75.0,-52.0,-67.0,2016.0,145.0,708.0,1168.0
33696583,1-1,3764.0,6899.0,-147.0,9541.0,-61.0,-76.0,-53.0,-66.0,2163.0,131.0,795.0,1178.0
33700709,1-1,4038.0,7016.0,86.0,9736.0,-61.0,-76.0,-51.0,-66.0,2084.0,133.0,653.0,1095.0
33702245,1-1,4116.0,6870.0,-108.0,9658.0,-61.0,-74.0,-52.0,-67.0,2017.0,136.0,818.0,1087.0
33702628,1-1,4155.0,7251.0,-147.0,9469.0,-61.0,-80.0,-53.0,-63.0,1998.0,2160.0,811.0,1149.0
33699860,1-1,3999.0,6460.0,47.0,9541.0,-61.0,-76.0,-52.0,-65.0,2073.0,82.0,677.0,1243.0
33695195,1-1,3921.0,6606.0,125.0,9463.0,-61.0,-75.0,-51.0,-66.0,1816.0,2142.0,645.0,1167.0
33695905,1-1,3960.0,6987.0,-30.0,9697.0,-61.0,-74.0,-50.0,-67.0,2093.0,177.0,753.0,1065.0
33701355,1-1,4038.0,6841.0,-69.0,9235.0,-60.0,-76.0,-51.0,-62.0,2071.0,129.0,756.0,1389.0
33701077,1-1,3960.0,6489.0,125.0,9502.0,-60.0,-76.0,-51.0,-66.0,2065.0,104.0,630.0,1180.0
33697083,1-1,4077.0,6870.0,-30.0,9580.0,-61.0,-75.0,-53.0,-67.0,2022.0,268.0,727.0,1203.0
33697055,1-1,4038.0,6606.0,-69.0,9619.0,-61.0,-76.0,-53.0,-67.0,2026.0,97.0,759.0,1122.0
33699306,1-1,3882.0,7016.0,47.0,9541.0,-61.0,-76.0,-52.0,-67.0,2117.0,60.0,644.0,1234.0
33702063,1-1,4077.0,7016.0,-147.0,9619.0,-61.0,-74.0,-52.0,-63.0,2066.0,226.0,782.0,1341.0
33695932,1-1,,,-215.0,,,,-44.0,,,,849.0,
33701835,1-1,4116.0,7192.0,-147.0,9424.0,-61.0,-76.0,-51.0,-66.0,866.0,99.0,769.0,1185.0
33702473,1-1,4038.0,6460.0,-108.0,9580.0,-61.0,-75.0,-52.0,-66.0,743.0,189.0,804.0,1213.0
33696159,1-1,4116.0,7016.0,8.0,9658.0,-61.0,-75.0,-53.0,-67.0,1988.0,1986.0,736.0,1147.0
33702174,1-1,3921.0,6782.0,-225.0,9697.0,-61.0,-74.0,-52.0,-67.0,2113.0,104.0,864.0,1087.0
33695790,1-1,3252.0,6811.0,8.0,9463.0,-56.0,-74.0,-53.0,-67.0,2526.0,220.0,718.0,1159.0
33700187,1-1,3803.0,6636.0,-147.0,9541.0,-61.0,-76.0,-52.0,-66.0,2127.0,130.0,808.0,1213.0
33700173,1-1,3921.0,6577.0,,,-60.0,-76.0,,,2100.0,88.0,,
33700625,1-1,4116.0,6811.0,47.0,9280.0,-61.0,-77.0,-45.0,-62.0,1866.0,147.0,679.0,1377.0
33698983,1-1,3921.0,6753.0,-69.0,9541.0,-61.0,-76.0,-52.0,-66.0,2084.0,66.0,728.0,1187.0
33695833,1-1,4038.0,6958.0,-69.0,9541.0,-62.0,-75.0,-52.0,-67.0,2042.0,102.0,774.0,1224.0
33700072,1-1,,,-98.0,9580.0,,,-51.0,-67.0,,,829.0,1155.0
33702459,1-1,3999.0,6694.0,-69.0,9619.0,-61.0,-74.0,-52.0,-66.0,746.0,143.0,759.0,1138.0
33699761,1-1,3960.0,6723.0,-30.0,9697.0,-61.0,-76.0,-51.0,-67.0,2080.0,176.0,750.0,1101.0
33695776,1-1,3882.0,6811.0,-30.0,9163.0,-61.0,-75.0,-53.0,-65.0,2132.0,145.0,750.0,1426.0
33702401,1-1,3960.0,6548.0,8.0,9580.0,-61.0,-76.0,-52.0,-66.0,1993.0,175.0,760.0,1141.0
33696956,1-1,3921.0,6694.0,47.0,9619.0,-61.0,-76.0,-52.0,-67.0,2087.0,185.0,644.0,1173.0
33700610,1-1,3882.0,6636.0,125.0,9658.0,-60.0,-77.0,-51.0,-65.0,2121.0,66.0,616.0,1145.0
33702132,1-1,3999.0,6870.0,-186.0,9619.0,-61.0,-74.0,-52.0,-67.0,2062.0,271.0,858.0,1195.0
33697847,1-1,3999.0,6811.0,-69.0,9502.0,-60.0,-75.0,-52.0,-67.0,988.0,167.0,786.0,1206.0
