timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
493531653,10,3849.0,8159.0,10361.0,-967.0,-58.0,-75.0,-70.0,-56.0,1344.0,2120.0,2425.0,1032.0
493531665,10,4380.0,7046.0,10361.0,-69.0,-58.0,-75.0,-69.0,-57.0,823.0,117.0,2026.0,502.0
493531678,10,4467.0,7456.0,10257.0,1072.0,-59.0,-75.0,-69.0,-58.0,821.0,2506.0,2149.0,916.0
493531693,10,4819.0,7163.0,10439.0,985.0,-60.0,-74.0,-69.0,-51.0,604.0,2359.0,1214.0,958.0
493531705,10,4409.0,6518.0,10088.0,-108.0,-58.0,-69.0,-66.0,-56.0,866.0,2484.0,343.0,561.0
493531718,10,4292.0,6577.0,10244.0,-421.0,-59.0,-70.0,-65.0,-51.0,867.0,2496.0,2504.0,468.0
493531730,10,4614.0,7075.0,10205.0,-26.0,-59.0,-71.0,-65.0,-50.0,721.0,97.0,228.0,337.0
493531743,10,4467.0,7632.0,9800.0,-655.0,-58.0,-68.0,-64.0,-50.0,801.0,1008.0,841.0,573.0
493531758,10,4497.0,7251.0,10283.0,-381.0,-58.0,-68.0,-68.0,-48.0,861.0,346.0,1963.0,393.0
493531772,10,4731.0,8833.0,9741.0,-421.0,-59.0,-68.0,-66.0,-50.0,693.0,1033.0,622.0,441.0
493531786,10,4350.0,7573.0,10166.0,-655.0,-53.0,-70.0,-68.0,-50.0,814.0,195.0,327.0,480.0
493531801,10,2911.0,9770.0,10322.0,-714.0,-53.0,-68.0,-67.0,-50.0,2454.0,97.0,218.0,549.0
493531816,10,4467.0,9301.0,10400.0,-694.0,-57.0,-68.0,-67.0,-49.0,727.0,1104.0,2008.0,565.0
493531831,10,4321.0,7309.0,10166.0,-460.0,-59.0,-69.0,-69.0,-49.0,753.0,176.0,2226.0,426.0
493531846,10,4350.0,7368.0,10322.0,-616.0,-59.0,-69.0,-67.0,-49.0,837.0,209.0,2350.0,910.0
493531860,10,4292.0,9829.0,10244.0,-577.0,-59.0,-69.0,-68.0,-50.0,902.0,107.0,2215.0,474.0
493531873,10,4174.0,7339.0,9983.0,-26.0,-59.0,-68.0,-64.0,-44.0,906.0,243.0,2224.0,465.0
493531888,10,4292.0,9829.0,10479.0,-577.0,-59.0,-68.0,-67.0,-50.0,862.0,2418.0,2287.0,519.0
493531902,10,4350.0,8071.0,10322.0,-538.0,-59.0,-68.0,-67.0,-50.0,766.0,3487.0,2264.0,459.0
493531917,10,4321.0,9917.0,10244.0,-577.0,-59.0,-70.0,-68.0,-49.0,638.0,2376.0,2198.0,483.0
493531931,10,4350.0,9331.0,10361.0,-499.0,-58.0,-67.0,-67.0,-49.0,702.0,2885.0,2252.0,450.0
493531945,10,4350.0,9712.0,10257.0,-538.0,-59.0,-69.0,-64.0,-47.0,759.0,107.0,500.0,472.0
493531960,10,4292.0,9946.0,10283.0,-616.0,-58.0,-67.0,-68.0,-49.0,907.0,2362.0,1926.0,522.0
493531974,10,4321.0,7134.0,10322.0,-538.0,-58.0,-68.0,-68.0,-49.0,830.0,157.0,1988.0,488.0
493531988,10,4262.0,9888.0,10400.0,-694.0,-58.0,-67.0,-67.0,-49.0,922.0,2595.0,2127.0,569.0
493532000,10,4262.0,7016.0,10400.0,-460.0,-58.0,-67.0,-68.0,-49.0,936.0,97.0,1952.0,423.0
493532014,10,4350.0,9975.0,10361.0,-577.0,-58.0,-67.0,-68.0,-49.0,854.0,2359.0,379.0,515.0
493532029,10,4380.0,9360.0,10361.0,-577.0,-58.0,-68.0,-68.0,-49.0,746.0,2787.0,1506.0,504.0
493532043,10,4292.0,7426.0,10361.0,-460.0,-58.0,-68.0,-67.0,-49.0,814.0,194.0,1532.0,440.0
493532056,10,4321.0,9917.0,10361.0,-577.0,-58.0,-68.0,-68.0,-49.0,852.0,1994.0,318.0,522.0
493532068,10,4263.0,9682.0,10479.0,-616.0,-59.0,-68.0,-67.0,-49.0,785.0,69.0,1506.0,523.0
493532081,10,4262.0,9770.0,10400.0,-499.0,-59.0,-68.0,-68.0,-49.0,838.0,2598.0,341.0,462.0
493532096,10,4409.0,9917.0,10439.0,-460.0,-58.0,-68.0,-68.0,-49.0,799.0,2504.0,1433.0,446.0
493532110,10,4350.0,9888.0,10478.0,-655.0,-59.0,-68.0,-67.0,-49.0,816.0,2473.0,1477.0,555.0
493532124,10,3292.0,9126.0,10439.0,-499.0,-52.0,-68.0,-67.0,-49.0,1921.0,999.0,1503.0,450.0
493532138,10,4380.0,7368.0,10479.0,-538.0,-58.0,-67.0,-68.0,-49.0,768.0,133.0,1897.0,487.0
493532154,10,4262.0,7602.0,10557.0,-488.0,-58.0,-67.0,-67.0,-41.0,830.0,176.0,1836.0,761.0
493532168,10,4321.0,9829.0,10557.0,-460.0,-58.0,-68.0,-67.0,-47.0,759.0,63.0,1959.0,389.0
493532183,10,4321.0,9770.0,10361.0,-538.0,-58.0,-68.0,-68.0,-49.0,739.0,104.0,1537.0,459.0
493532197,10,4262.0,9770.0,10400.0,-460.0,-58.0,-67.0,-67.0,-44.0,900.0,2598.0,1798.0,517.0
493532212,10,4292.0,9184.0,10322.0,-655.0,-58.0,-67.0,-68.0,-49.0,924.0,2487.0,370.0,548.0
493532227,10,3790.0,9858.0,10361.0,-538.0,-53.0,-67.0,-67.0,-49.0,1176.0,2433.0,1511.0,484.0
493532241,10,4380.0,9653.0,10322.0,-460.0,-58.0,-67.0,-68.0,-49.0,840.0,97.0,523.0,451.0
493532255,10,4350.0,9887.0,10361.0,-538.0,-58.0,-68.0,-68.0,-49.0,799.0,2519.0,427.0,435.0
493532270,10,4380.0,9829.0,10361.0,-410.0,-58.0,-68.0,-68.0,-46.0,685.0,2418.0,1534.0,643.0
493532285,10,4350.0,9799.0,10361.0,-105.0,-58.0,-68.0,-68.0,-46.0,817.0,2461.0,2194.0,484.0
493532299,10,4350.0,9975.0,10439.0,-577.0,-58.0,-68.0,-68.0,-49.0,821.0,2494.0,1982.0,496.0
493532314,10,4321.0,9946.0,10439.0,-538.0,-58.0,-68.0,-68.0,-49.0,797.0,2431.0,1962.0,484.0
493532329,10,4380.0,9829.0,10439.0,-577.0,-52.0,-68.0,-68.0,-49.0,724.0,2124.0,1480.0,504.0
493532343,10,4321.0,9800.0,10361.0,-538.0,-58.0,-68.0,-68.0,-49.0,756.0,2458.0,1534.0,498.0
493532358,10,4350.0,9712.0,10361.0,-577.0,-58.0,-68.0,-68.0,-49.0,661.0,104.0,1572.0,488.0
493532372,10,3790.0,9741.0,10439.0,-538.0,-52.0,-68.0,-68.0,-49.0,1224.0,87.0,1481.0,455.0
493532386,10,4292.0,9819.0,10322.0,-655.0,-58.0,-68.0,-68.0,-49.0,844.0,2574.0,392.0,544.0
493532401,10,4204.0,9682.0,10400.0,-577.0,-52.0,-68.0,-66.0,-49.0,967.0,69.0,1733.0,504.0
493532416,10,4262.0,9829.0,10283.0,-655.0,-58.0,-68.0,-68.0,-49.0,845.0,2124.0,433.0,556.0
493532431,10,4292.0,9712.0,10518.0,-460.0,-58.0,-68.0,-68.0,-49.0,939.0,97.0,1522.0,435.0
493532446,10,4292.0,9741.0,10439.0,-538.0,-58.0,-67.0,-68.0,-49.0,869.0,143.0,1512.0,468.0
493532461,10,4321.0,9917.0,10439.0,-616.0,-58.0,-68.0,-68.0,-49.0,830.0,2542.0,1486.0,498.0
493532475,10,4321.0,9858.0,10439.0,-616.0,-58.0,-68.0,-68.0,-49.0,943.0,2514.0,346.0,541.0
493532490,10,3292.0,9682.0,10361.0,-222.0,-58.0,-68.0,-68.0,-47.0,1936.0,139.0,1502.0,385.0
493532504,10,4438.0,9887.0,10479.0,-499.0,-53.0,-68.0,-68.0,-47.0,766.0,2500.0,1473.0,428.0
493532519,10,4380.0,9829.0,10022.0,-499.0,-58.0,-68.0,-65.0,-49.0,842.0,2647.0,1821.0,409.0
493532535,10,4409.0,9624.0,10322.0,-616.0,-58.0,-68.0,-68.0,-49.0,724.0,82.0,1514.0,534.0
493532550,10,4321.0,9799.0,10361.0,-596.0,-58.0,-68.0,-68.0,-49.0,794.0,2087.0,415.0,522.0
493532565,10,3849.0,9858.0,10322.0,-460.0,-53.0,-68.0,-68.0,-43.0,1150.0,2486.0,331.0,604.0
493532579,10,4467.0,9917.0,10400.0,-538.0,-58.0,-68.0,-68.0,-49.0,743.0,2543.0,1495.0,472.0
493532594,10,4409.0,9331.0,10439.0,-499.0,-58.0,-68.0,-68.0,-49.0,716.0,2916.0,1474.0,466.0
493532608,10,4292.0,9887.0,10439.0,-577.0,-58.0,-68.0,-68.0,-49.0,862.0,2576.0,1519.0,479.0
493532623,10,4409.0,9712.0,10439.0,-460.0,-58.0,-67.0,-68.0,-49.0,735.0,159.0,1469.0,358.0
493532637,10,4468.0,9682.0,10361.0,-538.0,-58.0,-68.0,-68.0,-49.0,644.0,139.0,1946.0,498.0
493532651,10,4262.0,9800.0,10400.0,-538.0,-58.0,-68.0,-66.0,-44.0,916.0,2431.0,448.0,500.0
493532666,10,4321.0,9741.0,10322.0,-577.0,-58.0,-67.0,-67.0,-49.0,907.0,91.0,1999.0,522.0
493532680,10,3819.0,9887.0,10498.0,-499.0,-58.0,-68.0,-68.0,-49.0,1374.0,2519.0,1956.0,545.0
493532694,10,,,,-538.0,,,,-49.0,,,,484.0
493532695,10,4409.0,9887.0,10518.0,,-58.0,-68.0,-68.0,,749.0,2558.0,319.0,
493532708,10,4380.0,9682.0,10479.0,-655.0,-58.0,-68.0,-68.0,-49.0,733.0,69.0,2002.0,573.0
493532723,10,4263.0,9829.0,10361.0,-577.0,-58.0,-67.0,-68.0,-49.0,934.0,2077.0,409.0,508.0
493532737,10,4438.0,9829.0,10400.0,-460.0,-59.0,-68.0,-68.0,-49.0,712.0,2685.0,315.0,414.0
493532752,10,4409.0,9360.0,10400.0,-499.0,-58.0,-68.0,-68.0,-49.0,787.0,2905.0,299.0,485.0
493532766,10,4350.0,8745.0,10283.0,-577.0,-58.0,-67.0,-68.0,-49.0,834.0,3202.0,1540.0,532.0
493532780,10,4321.0,9800.0,10400.0,-577.0,-58.0,-67.0,-68.0,-49.0,830.0,58.0,381.0,504.0
493532795,10,4467.0,9770.0,10439.0,-460.0,-58.0,-68.0,-64.0,-47.0,740.0,2445.0,1656.0,428.0
493532810,10,4468.0,9887.0,10439.0,-449.0,-58.0,-68.0,-68.0,-41.0,587.0,2519.0,1557.0,892.0
493532824,10,4467.0,9946.0,10400.0,-499.0,-58.0,-68.0,-68.0,-49.0,740.0,2470.0,1968.0,454.0
493532839,10,4321.0,9770.0,10244.0,-577.0,-58.0,-68.0,-68.0,-49.0,849.0,63.0,1574.0,484.0
493532854,10,4350.0,9799.0,10439.0,-655.0,-58.0,-67.0,-68.0,-49.0,834.0,2087.0,405.0,502.0
493532871,10,4409.0,9653.0,10518.0,-204.0,-58.0,-68.0,-68.0,-39.0,807.0,159.0,1487.0,417.0
493532885,10,4467.0,9770.0,10322.0,-499.0,-58.0,-68.0,-68.0,-49.0,623.0,63.0,443.0,442.0
493532897,10,4292.0,9741.0,10439.0,-421.0,-58.0,-67.0,-68.0,-44.0,844.0,145.0,2226.0,441.0
493532911,10,4497.0,9770.0,10361.0,-577.0,-58.0,-67.0,-68.0,-49.0,700.0,133.0,2241.0,488.0
493532926,10,4292.0,9946.0,10361.0,-616.0,-58.0,-68.0,-68.0,-49.0,862.0,2470.0,1990.0,541.0
493532940,10,4468.0,9682.0,10244.0,-499.0,-58.0,-67.0,-68.0,-49.0,698.0,111.0,2212.0,446.0
493532955,10,4497.0,9799.0,10322.0,-538.0,-58.0,-68.0,-68.0,-49.0,654.0,75.0,1947.0,498.0
493532970,10,4438.0,9741.0,12139.0,-626.0,-58.0,-68.0,-67.0,-49.0,795.0,87.0,1865.0,547.0
493532984,10,4350.0,9712.0,10322.0,-538.0,-53.0,-68.0,-68.0,-49.0,834.0,2075.0,376.0,484.0
493532999,10,4526.0,9829.0,10361.0,-577.0,-58.0,-68.0,-68.0,-49.0,633.0,2076.0,1994.0,496.0
493533012,10,4262.0,9682.0,10400.0,-538.0,-58.0,-68.0,-67.0,-49.0,876.0,74.0,1516.0,523.0
493533025,10,,,,-538.0,,,,-49.0,,,,529.0
493533026,10,3526.0,9800.0,10479.0,,-49.0,-67.0,-68.0,,1541.0,64.0,356.0,
493533040,10,4292.0,9712.0,10439.0,-616.0,-58.0,-68.0,-67.0,-49.0,941.0,97.0,1974.0,502.0
493533054,10,4409.0,9829.0,10478.0,-577.0,-58.0,-68.0,-67.0,-49.0,734.0,2529.0,1922.0,457.0
493533068,10,4438.0,9946.0,10361.0,-499.0,-58.0,-68.0,-67.0,-49.0,835.0,2470.0,1540.0,459.0
493533083,10,4467.0,9887.0,10322.0,-26.0,-58.0,-68.0,-67.0,-47.0,746.0,2539.0,1581.0,419.0
493533098,10,3849.0,9858.0,10439.0,-616.0,-52.0,-68.0,-67.0,-49.0,1250.0,95.0,2209.0,523.0
493533112,10,4350.0,9858.0,10439.0,-616.0,-58.0,-68.0,-68.0,-47.0,819.0,2064.0,1942.0,484.0
493533127,10,4468.0,9887.0,10322.0,-499.0,-58.0,-68.0,-68.0,-49.0,644.0,2051.0,1990.0,428.0
493533141,10,4350.0,8774.0,10400.0,-460.0,-58.0,-68.0,-68.0,-49.0,817.0,2979.0,1564.0,447.0
493533153,10,4409.0,9214.0,10439.0,-616.0,-58.0,-68.0,-68.0,-44.0,778.0,2823.0,1959.0,602.0
