Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
15,2024-11-28 14:23:16.628,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4311,954,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4311,954,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8755,190,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4311,954,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8755,190,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,4780,1097,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4311,954,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8755,190,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,4780,1097,3543377267,true
15,2024-11-28 14:23:16.628,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-1129,1611,3543377267,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4233,988,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4233,988,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8677,310,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4233,988,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8677,310,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4858,1204,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4233,988,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-56,8677,310,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP1,24:29:34:e2:4c:36,-69,4858,1204,3543377441,true
15,2024-11-28 14:23:16.801,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-1129,1770,3543377441,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,4155,843,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,4155,843,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,264,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,4155,843,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,264,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,4897,1572,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72,4155,843,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,264,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,4897,1572,3543377544,true
15,2024-11-28 14:23:16.916,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-1090,1606,3543377544,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,3882,976,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,3882,976,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8598,266,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,3882,976,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8598,266,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,4780,1282,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP2,24:29:34:e1:ef:d4,-73,3882,976,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,8598,266,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP1,24:29:34:e2:4c:36,-70,4780,1282,3543377646,true
15,2024-11-28 14:23:17.006,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-855,1671,3543377646,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,3921,771,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,3921,771,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,8598,353,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,3921,771,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,8598,353,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4624,1421,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,3921,771,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,8598,353,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,4624,1421,3543377752,true
15,2024-11-28 14:23:17.118,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-1011,1766,3543377752,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4233,1265,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4233,1265,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,259,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4233,1265,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,259,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4897,1890,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP2,24:29:34:e1:ef:d4,-74,4233,1265,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,8833,259,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4897,1890,3543377851,true
15,2024-11-28 14:23:17.212,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-933,1483,3543377851,true
15,2024-11-28 14:23:17.352,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4428,749,3543377991,true
15,2024-11-28 14:23:17.352,MCSLab RTT AP2,24:29:34:e1:ef:d4,-76,4428,749,3543377991,true
15,2024-11-28 14:23:17.352,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,8442,324,3543377991,true
