timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
3546081741,10,3491.0,7514.0,10166.0,-767.0,-65.0,-73.0,-66.0,-45.0,996.0,1841.0,432.0,741.0
3546081968,10,3491.0,7016.0,10044.0,-152.0,-64.0,-73.0,-65.0,-50.0,804.0,2297.0,164.0,223.0
3546082180,10,,,,3.0,,,,-43.0,,,,180.0
3546082181,10,3413.0,6694.0,10132.0,,-64.0,-65.0,-65.0,,817.0,2211.0,229.0,
3546082374,10,3452.0,6928.0,9543.0,,-64.0,-74.0,-58.0,,724.0,2553.0,1278.0,
3546258401,10,3618.0,6987.0,10591.0,-504.0,-60.0,-70.0,-66.0,-52.0,1118.0,749.0,97.0,409.0
3546258580,10,3559.0,6753.0,10591.0,-699.0,-59.0,-70.0,-58.0,-51.0,976.0,997.0,110.0,437.0
3546258687,10,4380.0,6723.0,10195.0,-504.0,-59.0,-70.0,-60.0,-50.0,856.0,1127.0,235.0,286.0
3546258784,10,4526.0,6723.0,10356.0,-543.0,-59.0,-70.0,-65.0,-50.0,726.0,819.0,157.0,358.0
3546258897,10,4672.0,6694.0,10512.0,-308.0,-59.0,-69.0,-66.0,-49.0,638.0,754.0,158.0,336.0
3546258988,10,4643.0,6577.0,10591.0,-426.0,-58.0,-71.0,-65.0,-50.0,726.0,755.0,104.0,378.0
3546259073,10,4643.0,6547.0,10278.0,-582.0,-51.0,-71.0,-63.0,-50.0,650.0,947.0,159.0,380.0
3546259193,10,4585.0,6577.0,10513.0,-387.0,-57.0,-71.0,-65.0,-50.0,754.0,699.0,137.0,237.0
3546259331,10,5346.0,6753.0,10395.0,-113.0,-57.0,-72.0,-65.0,-50.0,307.0,746.0,237.0,163.0
3546259501,10,5112.0,6372.0,10317.0,-387.0,-59.0,-71.0,-64.0,-48.0,380.0,1127.0,87.0,261.0
3546259608,10,5991.0,6372.0,10552.0,-230.0,-58.0,-72.0,-64.0,-49.0,311.0,1034.0,158.0,240.0
3546259706,10,6069.0,6372.0,10395.0,-269.0,-58.0,-70.0,-63.0,-49.0,150.0,1116.0,129.0,215.0
3546259810,10,4966.0,6343.0,10249.0,-543.0,-58.0,-70.0,-62.0,-49.0,514.0,1217.0,126.0,248.0
3546259924,10,4936.0,6401.0,10337.0,-426.0,-58.0,-70.0,-65.0,-50.0,547.0,1114.0,292.0,296.0
3546260038,10,4966.0,6343.0,10356.0,-191.0,-58.0,-69.0,-64.0,-49.0,628.0,1160.0,87.0,270.0
3546260187,10,5088.0,6489.0,10473.0,-465.0,-52.0,-69.0,-63.0,-49.0,1832.0,1090.0,144.0,195.0
3546260388,10,4204.0,6313.0,10434.0,-660.0,-58.0,-71.0,-62.0,-49.0,945.0,1465.0,135.0,342.0
3546260593,10,4116.0,6548.0,10161.0,-543.0,-58.0,-71.0,-65.0,-50.0,777.0,896.0,197.0,268.0
3546260696,10,4321.0,6372.0,9861.0,-426.0,-58.0,-71.0,-63.0,-49.0,677.0,1088.0,561.0,181.0
3546260798,10,4673.0,6372.0,10200.0,-504.0,-57.0,-71.0,-64.0,-49.0,657.0,1320.0,389.0,153.0
3546261006,10,4321.0,6460.0,10317.0,-227.0,-57.0,-71.0,-61.0,-47.0,871.0,1179.0,368.0,132.0
3546261145,10,4878.0,6518.0,10317.0,-269.0,-58.0,-69.0,-64.0,-45.0,538.0,1040.0,298.0,348.0
3546261280,10,4702.0,6723.0,10434.0,-387.0,-57.0,-70.0,-64.0,-50.0,550.0,1013.0,218.0,170.0
3546261471,10,4731.0,6372.0,10473.0,-1118.0,-57.0,-71.0,-65.0,-43.0,616.0,1225.0,208.0,777.0
3546261602,10,4966.0,,10254.0,-308.0,-57.0,,-60.0,-51.0,476.0,,653.0,149.0
3546261603,10,,6577.0,,,,-71.0,,,,1129.0,,
3546261721,10,4702.0,6401.0,10473.0,-387.0,-57.0,-71.0,-64.0,-51.0,756.0,1134.0,225.0,153.0
3546261928,10,4497.0,6372.0,10434.0,-191.0,-57.0,-70.0,-62.0,-49.0,801.0,1129.0,332.0,58.0
3546262125,10,4790.0,6577.0,10356.0,-113.0,-58.0,-71.0,-63.0,-47.0,492.0,1069.0,327.0,108.0
3546262332,10,4848.0,6518.0,10434.0,159.0,-57.0,-71.0,-65.0,-45.0,529.0,1288.0,288.0,105.0
3546262433,10,5200.0,6401.0,10434.0,3.0,-57.0,-70.0,-64.0,-45.0,341.0,1307.0,267.0,162.0
3546262533,10,5171.0,6694.0,10134.0,32.0,-57.0,-70.0,-61.0,-44.0,489.0,1296.0,548.0,103.0
3546262637,10,,,10356.0,3.0,,,-63.0,-45.0,,,360.0,97.0
3546262638,10,4731.0,6636.0,,,-57.0,-71.0,,,686.0,1306.0,,
3546262740,10,4995.0,6343.0,10473.0,-54.0,-57.0,-69.0,-63.0,-46.0,458.0,1179.0,315.0,305.0
3546262842,10,4819.0,6753.0,10369.0,91.0,-57.0,-70.0,-63.0,-39.0,444.0,1153.0,329.0,385.0
3546262962,10,4995.0,,10513.0,-269.0,-57.0,,-64.0,-47.0,486.0,,323.0,181.0
3546262963,10,,6401.0,,,,-71.0,,,,1212.0,,
3546263163,10,4819.0,6577.0,10434.0,-310.0,-57.0,-70.0,-62.0,-43.0,455.0,1238.0,375.0,216.0
3546263361,10,4790.0,6313.0,10395.0,-25.0,-57.0,-71.0,-62.0,-45.0,599.0,1272.0,398.0,123.0
3546263571,10,4731.0,6518.0,10317.0,-113.0,-57.0,-70.0,-64.0,-47.0,705.0,1231.0,381.0,1335.0
3546263723,10,4702.0,6547.0,10395.0,-113.0,-57.0,-70.0,-63.0,-47.0,597.0,1254.0,334.0,103.0
3546263872,10,4760.0,6606.0,10473.0,-74.0,-57.0,-69.0,-63.0,-47.0,695.0,1187.0,331.0,74.0
3546264008,10,4936.0,6489.0,10473.0,-376.0,-57.0,-70.0,-61.0,-43.0,641.0,1204.0,446.0,348.0
3546264136,10,5024.0,6489.0,10089.0,3.0,-57.0,-70.0,-62.0,-45.0,542.0,1283.0,517.0,394.0
3546264283,10,4936.0,6636.0,10356.0,-74.0,-57.0,-70.0,-66.0,-47.0,586.0,1118.0,166.0,74.0
3546264488,10,4995.0,6343.0,10317.0,-84.0,-57.0,-69.0,-63.0,-46.0,560.0,1277.0,197.0,82.0
3546264619,10,4995.0,6577.0,10356.0,-515.0,-57.0,-69.0,-64.0,-42.0,556.0,1147.0,195.0,656.0
3546264745,10,4966.0,6518.0,10356.0,-152.0,-57.0,-70.0,-64.0,-47.0,548.0,1151.0,193.0,105.0
3546264877,10,4936.0,6284.0,10512.0,-113.0,-57.0,-70.0,-63.0,-47.0,583.0,1287.0,139.0,82.0
3546265101,10,5024.0,6694.0,10434.0,-113.0,-57.0,-70.0,-64.0,-47.0,581.0,1063.0,135.0,105.0
3546265203,10,4878.0,6313.0,10252.0,-201.0,-57.0,-69.0,-62.0,-47.0,671.0,1312.0,287.0,131.0
3546265410,10,5024.0,,10356.0,-84.0,-57.0,,-65.0,-47.0,488.0,,147.0,105.0
3546265411,10,,6577.0,,,,-70.0,,,,1122.0,,
3546265544,10,4878.0,6372.0,10278.0,-25.0,-57.0,-70.0,-64.0,-47.0,634.0,1264.0,210.0,40.0
