Timestamp,AP SSID,BSSID,RSSI,RTT Timestamp
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP1,24:29:34:e2:4c:36,-48 dBm,6567133932025
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP1,24:29:34:e2:4c:36,-48 dBm,6567133932025
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b4,-51 dBm,6567134019839
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP1,24:29:34:e2:4c:36,-48 dBm,6567133932025
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b4,-51 dBm,6567134019839
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b3,-71 dBm,6567134102444
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP1,24:29:34:e2:4c:36,-48 dBm,6567133932025
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b4,-51 dBm,6567134019839
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b3,-71 dBm,6567134102444
2025-01-02 14:35:28.598,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-42 dBm,6567134049143
2025-01-02 14:35:28.598,MCSLab RTT AP3,b0:e4:d5:88:16:86,-44 dBm,6567134049273
2025-01-02 14:35:28.598,DIRECT-Dt-EPSON-L6270 Series,e2:bb:9e:36:aa:c1,-69 dBm,6567133943248
2025-01-02 14:35:28.598,IDBA_BigRoom_5G-1,92:28:aa:80:a3:9d,-85 dBm,6567133970534
2025-01-02 14:35:28.598,Xiaomi_2286_5G,50:64:2b:c8:22:88,-87 dBm,6567134144545
2025-01-02 14:35:28.598,MCSLab RTT AP1,24:29:34:e2:4c:36,-48 dBm,6567133932025
2025-01-02 14:35:28.598,MBILAB,54:af:97:89:9c:b4,-51 dBm,6567134019839
