Starting Wi-Fi RTT Ranging...
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: DIRECT-Dt-EPSON-L6270 Series, BSSID: e2:bb:9e:36:aa:c1, RSSI: -69 dBmtimestamp: 6567133943248
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: DIRECT-Dt-EPSON-L6270 Series, BSSID: e2:bb:9e:36:aa:c1, RSSI: -69 dBmtimestamp: 6567133943248
Timestamp: 2025-01-02 14:35:28.598, AP SSID: IDBA_BigRoom_5G-1, BSSID: 92:28:aa:80:a3:9d, RSSI: -85 dBmtimestamp: 6567133970534
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: DIRECT-Dt-EPSON-L6270 Series, BSSID: e2:bb:9e:36:aa:c1, RSSI: -69 dBmtimestamp: 6567133943248
Timestamp: 2025-01-02 14:35:28.598, AP SSID: IDBA_BigRoom_5G-1, BSSID: 92:28:aa:80:a3:9d, RSSI: -85 dBmtimestamp: 6567133970534
Timestamp: 2025-01-02 14:35:28.598, AP SSID: Xiaomi_2286_5G, BSSID: 50:64:2b:c8:22:88, RSSI: -87 dBmtimestamp: 6567134144545
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: DIRECT-Dt-EPSON-L6270 Series, BSSID: e2:bb:9e:36:aa:c1, RSSI: -69 dBmtimestamp: 6567133943248
Timestamp: 2025-01-02 14:35:28.598, AP SSID: IDBA_BigRoom_5G-1, BSSID: 92:28:aa:80:a3:9d, RSSI: -85 dBmtimestamp: 6567133970534
Timestamp: 2025-01-02 14:35:28.598, AP SSID: Xiaomi_2286_5G, BSSID: 50:64:2b:c8:22:88, RSSI: -87 dBmtimestamp: 6567134144545
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, RSSI: -48 dBmtimestamp: 6567133932025
Timestamp: 2025-01-02 14:35:28.598, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, RSSI: -44 dBmtimestamp: 6567134049273
Timestamp: 2025-01-02 14:35:28.598, AP SSID: DIRECT-Dt-EPSON-L6270 Series, BSSID: e2:bb:9e:36:aa:c1, RSSI: -69 dBmtimestamp: 6567133943248
Timestamp: 2025-01-02 14:35:28.598, AP SSID: IDBA_BigRoom_5G-1, BSSID: 92:28:aa:80:a3:9d, RSSI: -85 dBmtimestamp: 6567133970534
Timestamp: 2025-01-02 14:35:28.598, AP SSID: Xiaomi_2286_5G, BSSID: 50:64:2b:c8:22:88, RSSI: -87 dBmtimestamp: 6567134144545
