Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
2,2024-12-14 16:49:58.745,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,9829,684,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,9829,684,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7393,441,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,9829,684,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7393,441,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,-727,1546,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,9829,684,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7393,441,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,-727,1546,4934579384,true
2,2024-12-14 16:49:58.745,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,4071,1188,4934579384,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,10122,570,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,10122,570,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7275,522,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,10122,570,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7275,522,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,-805,1701,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,10122,570,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7275,522,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,-805,1701,4934579506,true
2,2024-12-14 16:49:58.867,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,3954,2451,4934579506,true
2,2024-12-14 16:49:58.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-80,9888,748,4934579629,true
2,2024-12-14 16:49:58.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-80,9888,748,4934579629,true
2,2024-12-14 16:49:58.989,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7314,529,4934579629,true
2,2024-12-14 16:49:58.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-80,9888,748,4934579629,true
2,2024-12-14 16:49:58.989,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-54,7314,529,4934579629,true
