Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
8,2024-12-21 15:12:15.192,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,8552,163,5533515831,True,8392.048651749856
8,2024-12-21 15:12:15.192,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,8552,163,5533515831,True,8392.048651749856
8,2024-12-21 15:12:15.192,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,9234,227,5533515831,True,9012.446464432935
8,2024-12-21 15:12:15.192,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,8552,163,5533515831,True,8392.048651749856
8,2024-12-21 15:12:15.192,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,9234,227,5533515831,True,9012.446464432935
8,2024-12-21 15:12:15.192,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,2592,142,5533515831,True,2457.375274323336
8,2024-12-21 15:12:15.192,MCSLab RTT AP2,24:29:34:e1:ef:d4,-81,8552,163,5533515831,True,8392.048651749856
8,2024-12-21 15:12:15.192,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,9234,227,5533515831,True,9012.446464432935
8,2024-12-21 15:12:15.192,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,2592,142,5533515831,True,2457.375274323336
8,2024-12-21 15:12:15.192,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-583,1456,5533515831,True,-166.69396763119175
8,2024-12-21 15:12:15.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,8870,75,5533515948,True,8795.62884292901
8,2024-12-21 15:12:15.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,8870,75,5533515948,True,8795.62884292901
8,2024-12-21 15:12:15.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-55,9376,216,5533515948,True,9164.864053377814
8,2024-12-21 15:12:15.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,8870,75,5533515948,True,8795.62884292901
8,2024-12-21 15:12:15.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-55,9376,216,5533515948,True,9164.864053377814
8,2024-12-21 15:12:15.309,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,2593,82,5533515948,True,2513.513644859813
8,2024-12-21 15:12:15.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-78,8870,75,5533515948,True,8795.62884292901
8,2024-12-21 15:12:15.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-55,9376,216,5533515948,True,9164.864053377814
8,2024-12-21 15:12:15.309,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,2593,82,5533515948,True,2513.513644859813
8,2024-12-21 15:12:15.309,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,194,51,5533515948,True,153.61632653061224
8,2024-12-21 15:12:15.413,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7983,355,5533516051,True,7643.114535859919
8,2024-12-21 15:12:15.413,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7983,355,5533516051,True,7643.114535859919
8,2024-12-21 15:12:15.413,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,9072,599,5533516051,True,8510.100713473272
8,2024-12-21 15:12:15.413,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,7983,355,5533516051,True,7643.114535859919
8,2024-12-21 15:12:15.413,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-57,9072,599,5533516051,True,8510.100713473272
