timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
553881577,47,4540.411193272437,1084.9180722891567,7900.07741935484,1095.7161531279178,-58.0,-64.0,-62.0,-68.0
553881589,47,5142.984441301272,1292.592349726776,7334.026706601772,1183.5723651033788,-63.0,-63.0,-62.0,-67.0
553881602,47,4997.664542294322,1186.199220923762,7452.111462358039,1111.0587226746677,-62.0,-62.0,-61.0,-60.0
553881614,47,4553.835722819594,1055.6647127784292,8000.236517533253,1093.989804964539,-61.0,-62.0,-62.0,-67.0
553881626,47,4936.775919732442,1239.5586249232658,7112.993948196562,1171.1237155774763,-61.0,-65.0,-63.0,-65.0
553881639,47,5145.48476821192,1199.6801922050188,7478.839128243891,927.5962214411248,-61.0,-61.0,-61.0,-64.0
553881649,47,4149.522291235335,1145.993757094211,7656.729235676604,1112.012012012012,-63.0,-64.0,-61.0,-65.0
553881662,47,4863.811107978573,1221.8202479338845,7513.655296452493,1105.9367441860466,-61.0,-65.0,-62.0,-60.0
553881674,47,4729.096363115693,1363.6845953002612,7538.650073928045,976.4201312910284,-52.0,-64.0,-61.0,-64.0
553881686,47,5089.311353711791,1216.7921810699588,7410.788902900379,1527.696,-61.0,-64.0,-61.0,-58.0
553881700,47,5066.4496449789885,1229.7448233861146,7612.136117270264,1482.9723002810117,-62.0,-65.0,-61.0,-65.0
553881715,47,4828.758529020824,1312.3635883905013,7864.939916789036,1395.8976006855185,-62.0,-64.0,-62.0,-65.0
553881729,47,4891.8426724137935,1232.7478632478633,7393.381926792069,893.9125295508275,-62.0,-64.0,-61.0,-65.0
553881743,47,5204.079003864319,1578.674710910005,7734.539595984632,1178.8762929251138,-61.0,-65.0,-61.0,-65.0
553881758,47,4369.664098837209,1392.7765333333334,7179.400933796241,989.8560209424083,-62.0,-62.0,-60.0,-66.0
553881771,47,5160.674391143912,1488.6005434782608,7686.941286229631,1201.7477857444117,-62.0,-65.0,-62.0,-64.0
553881786,47,4911.583772241993,1564.5161933233685,7826.916379734382,660.5180111618467,-61.0,-65.0,-62.0,-66.0
553881800,47,5259.04482661404,1718.655719759168,7456.295528761617,1187.94683776352,-62.0,-66.0,-61.0,-64.0
553881813,47,5025.667529107374,1556.1082901554405,7665.962163503286,1015.0770633834928,-62.0,-66.0,-60.0,-65.0
