timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
553351583,8,2592.0,8552.0,9234.0,-583.0,-59.0,-81.0,-59.0,-53.0,142.0,163.0,227.0,1456.0
553351594,8,2593.0,8870.0,9376.0,194.0,-61.0,-78.0,-55.0,-50.0,82.0,75.0,216.0,51.0
553351605,8,2710.0,7983.0,9072.0,-2363.0,-61.0,-70.0,-57.0,-47.0,1191.0,355.0,599.0,2690.0
553351617,8,2866.0,7983.0,9307.0,-2236.0,-54.0,-74.0,-57.0,-47.0,1142.0,469.0,407.0,1502.0
553351646,8,2632.0,7163.0,10097.0,-186.0,-60.0,-67.0,-57.0,-51.0,1621.0,752.0,862.0,326.0
553351678,8,2671.0,7280.0,8916.0,-10.0,-58.0,-69.0,-55.0,-55.0,1253.0,110.0,669.0,312.0
553351707,8,2671.0,7192.0,8955.0,-908.0,-58.0,-70.0,-57.0,-45.0,1169.0,88.0,662.0,1875.0
553351737,8,2827.0,7368.0,8955.0,-293.0,-59.0,-69.0,-57.0,-50.0,1271.0,121.0,556.0,450.0
553351753,8,2475.0,7280.0,8838.0,-449.0,-59.0,-69.0,-58.0,-47.0,1422.0,175.0,766.0,778.0
553351771,8,2553.0,7104.0,8928.0,-69.0,-59.0,-69.0,-57.0,-55.0,1571.0,103.0,624.0,116.0
553351790,8,2514.0,7163.0,9782.0,-147.0,-58.0,-69.0,-55.0,-54.0,1518.0,213.0,719.0,304.0
553351807,8,2671.0,7221.0,8682.0,-2285.0,-58.0,-70.0,-56.0,-44.0,1325.0,93.0,616.0,2149.0
553351824,8,2671.0,7251.0,9547.0,-225.0,-58.0,-70.0,-53.0,-49.0,1272.0,166.0,658.0,409.0
553351841,8,2592.0,7163.0,8916.0,-261.0,-58.0,-70.0,-59.0,-54.0,1422.0,227.0,723.0,334.0
553351859,8,2749.0,7163.0,8974.0,58.0,-58.0,-70.0,-58.0,-52.0,1391.0,235.0,639.0,171.0
553351875,8,2710.0,7280.0,8916.0,-1076.0,-59.0,-69.0,-54.0,-50.0,1321.0,150.0,434.0,795.0
553351893,8,2671.0,7104.0,9126.0,-98.0,-58.0,-70.0,-58.0,-55.0,1225.0,150.0,620.0,285.0
553351910,8,2514.0,7221.0,9658.0,-1025.0,-59.0,-70.0,-54.0,-48.0,1432.0,123.0,822.0,896.0
553351930,8,2553.0,7192.0,8877.0,-10.0,-59.0,-70.0,-58.0,-53.0,1571.0,103.0,638.0,596.0
553351948,8,2710.0,7134.0,8916.0,-684.0,-59.0,-69.0,-55.0,-52.0,1554.0,153.0,673.0,765.0
553351964,8,2475.0,7192.0,8877.0,-108.0,-59.0,-69.0,-58.0,-55.0,1537.0,121.0,705.0,299.0
553351981,8,2514.0,7134.0,8799.0,-957.0,-59.0,-70.0,-58.0,-47.0,1402.0,179.0,785.0,919.0
553351997,8,2475.0,7163.0,8643.0,-40.0,-58.0,-70.0,-59.0,-50.0,1363.0,126.0,647.0,250.0
553352014,8,2710.0,7221.0,8955.0,-108.0,-58.0,-69.0,-58.0,-54.0,1160.0,185.0,553.0,265.0
553352033,8,2671.0,7163.0,9888.0,-147.0,-59.0,-70.0,-52.0,-46.0,1300.0,105.0,834.0,612.0
553352049,8,2593.0,7104.0,9033.0,-371.0,-58.0,-69.0,-55.0,-47.0,1335.0,147.0,604.0,661.0
553352069,8,2749.0,7104.0,8850.0,-381.0,-58.0,-69.0,-56.0,-53.0,1301.0,199.0,643.0,336.0
553352087,8,2788.0,,8916.0,47.0,-58.0,,-58.0,-53.0,1342.0,,638.0,246.0
553352088,8,,7104.0,,,,-70.0,,,,218.0,,
553352106,8,2593.0,7221.0,8916.0,-680.0,-59.0,-69.0,-58.0,-48.0,1524.0,123.0,654.0,783.0
553352124,8,2475.0,7221.0,9007.0,-98.0,-59.0,-69.0,-55.0,-55.0,1465.0,157.0,487.0,273.0
553352141,8,2514.0,7104.0,8916.0,12.0,-59.0,-69.0,-54.0,-52.0,1505.0,120.0,589.0,276.0
553352160,8,2749.0,7192.0,8994.0,-69.0,-59.0,-69.0,-58.0,-54.0,1419.0,126.0,603.0,216.0
553352178,8,2632.0,7134.0,8877.0,-758.0,-59.0,-70.0,-57.0,-48.0,1374.0,126.0,625.0,736.0
553352196,8,2475.0,6987.0,9508.0,86.0,-59.0,-70.0,-55.0,-48.0,1421.0,248.0,711.0,232.0
553352214,8,2939.0,7163.0,9052.0,-98.0,-50.0,-70.0,-54.0,-55.0,1649.0,175.0,496.0,289.0
553352233,8,2632.0,7221.0,9469.0,47.0,-59.0,-70.0,-55.0,-55.0,1418.0,187.0,737.0,217.0
553352249,8,2475.0,7192.0,8955.0,164.0,-59.0,-71.0,-58.0,-54.0,1522.0,163.0,641.0,164.0
553352266,8,2514.0,7075.0,9313.0,106.0,-59.0,-70.0,-55.0,-54.0,1564.0,165.0,483.0,250.0
553352285,8,2710.0,7134.0,9678.0,-840.0,-59.0,-70.0,-59.0,-45.0,1436.0,140.0,644.0,885.0
553352303,8,2749.0,7046.0,9046.0,-332.0,-59.0,-70.0,-56.0,-46.0,1388.0,173.0,620.0,575.0
553352320,8,2475.0,6987.0,9548.0,-325.0,-59.0,-70.0,-55.0,-48.0,1507.0,278.0,684.0,438.0
553352334,8,2710.0,7104.0,8838.0,-120.0,-59.0,-70.0,-58.0,-49.0,1354.0,120.0,687.0,753.0
553352352,8,2749.0,7163.0,9618.0,-1327.0,-59.0,-70.0,-52.0,-42.0,1388.0,137.0,474.0,613.0
553352370,8,2593.0,7075.0,8760.0,129.0,-59.0,-70.0,-58.0,-52.0,1378.0,126.0,700.0,204.0
553352388,8,2475.0,7134.0,8877.0,97.0,-59.0,-70.0,-56.0,-48.0,1507.0,166.0,685.0,235.0
553352404,8,2553.0,7075.0,8838.0,204.0,-59.0,-70.0,-58.0,-55.0,1413.0,219.0,712.0,162.0
553352421,8,2632.0,7104.0,9469.0,-449.0,-59.0,-71.0,-52.0,-49.0,1448.0,187.0,692.0,573.0
553352439,8,2549.0,7163.0,8877.0,-208.0,-53.0,-70.0,-54.0,-54.0,1489.0,174.0,692.0,425.0
553352457,8,2475.0,7075.0,8877.0,-371.0,-59.0,-70.0,-58.0,-48.0,1435.0,185.0,590.0,687.0
553352473,8,2632.0,7163.0,8877.0,-940.0,-59.0,-70.0,-58.0,-48.0,1418.0,197.0,714.0,1354.0
553352490,8,2632.0,7192.0,8877.0,-108.0,-59.0,-70.0,-58.0,-48.0,1418.0,135.0,679.0,582.0
553352509,8,2592.0,7134.0,9058.0,47.0,-59.0,-70.0,-54.0,-52.0,1380.0,174.0,534.0,211.0
553352527,8,2593.0,7163.0,8877.0,-225.0,-59.0,-70.0,-58.0,-54.0,1468.0,150.0,667.0,345.0
553352545,8,2553.0,7280.0,8760.0,-157.0,-59.0,-70.0,-54.0,-51.0,1411.0,175.0,673.0,347.0
553352562,8,2632.0,7221.0,9430.0,-1894.0,-59.0,-70.0,-55.0,-49.0,1404.0,138.0,791.0,1879.0
553352581,8,2475.0,7104.0,9587.0,-225.0,-54.0,-70.0,-53.0,-54.0,1638.0,155.0,625.0,374.0
553352598,8,2553.0,7134.0,8838.0,-225.0,-59.0,-70.0,-58.0,-54.0,1399.0,232.0,629.0,374.0
553352615,8,2866.0,7104.0,8889.0,-303.0,-58.0,-70.0,-57.0,-54.0,1301.0,154.0,662.0,351.0
553352633,8,2553.0,7046.0,8877.0,-186.0,-59.0,-69.0,-58.0,-49.0,1383.0,174.0,614.0,300.0
553352651,8,2632.0,7221.0,9253.0,-918.0,-58.0,-70.0,-53.0,-47.0,1362.0,224.0,425.0,912.0
553352666,8,2827.0,7104.0,9587.0,-225.0,-59.0,-70.0,-55.0,-49.0,1262.0,249.0,675.0,779.0
553352684,8,2553.0,7075.0,9404.0,-128.0,-59.0,-69.0,-52.0,-54.0,1487.0,197.0,597.0,234.0
553352702,8,2514.0,7163.0,8877.0,-264.0,-59.0,-69.0,-58.0,-55.0,1535.0,195.0,740.0,347.0
553352721,8,2475.0,7192.0,8955.0,-723.0,-54.0,-69.0,-58.0,-50.0,1447.0,136.0,755.0,900.0
553352738,8,2632.0,7163.0,8838.0,-120.0,-59.0,-70.0,-58.0,-47.0,1489.0,163.0,626.0,548.0
553352757,8,2632.0,7192.0,8955.0,-801.0,-59.0,-70.0,-57.0,-50.0,1390.0,137.0,571.0,764.0
553352775,8,2671.0,7221.0,8760.0,-303.0,-59.0,-70.0,-59.0,-55.0,1353.0,169.0,638.0,384.0
553352792,8,2553.0,7221.0,8838.0,-186.0,-59.0,-69.0,-58.0,-55.0,1500.0,137.0,670.0,347.0
553352808,8,2593.0,7280.0,8928.0,-225.0,-59.0,-70.0,-57.0,-50.0,1464.0,85.0,616.0,381.0
553352826,8,2671.0,7104.0,9508.0,-303.0,-54.0,-70.0,-54.0,-55.0,1450.0,148.0,678.0,341.0
553352846,8,2553.0,7163.0,9795.0,-264.0,-59.0,-69.0,-53.0,-55.0,1426.0,153.0,715.0,317.0
553352863,8,2905.0,7221.0,9046.0,-1191.0,-59.0,-69.0,-56.0,-51.0,1237.0,175.0,537.0,1230.0
553352881,8,2788.0,7163.0,8916.0,-264.0,-59.0,-69.0,-56.0,-55.0,1327.0,245.0,575.0,367.0
553352897,8,2592.0,7134.0,9560.0,-225.0,-59.0,-69.0,-54.0,-55.0,1437.0,151.0,481.0,343.0
553352912,8,2788.0,7251.0,8994.0,-266.0,-59.0,-69.0,-58.0,-55.0,1295.0,112.0,668.0,882.0
553352931,8,2553.0,7163.0,9124.0,8.0,-59.0,-69.0,-54.0,-55.0,1455.0,148.0,509.0,237.0
553352948,8,2475.0,7163.0,8916.0,-147.0,-59.0,-69.0,-58.0,-55.0,1507.0,183.0,628.0,256.0
553352963,8,2475.0,7134.0,9169.0,-2265.0,-59.0,-70.0,-52.0,-44.0,1480.0,223.0,393.0,250.0
553352979,8,2788.0,7280.0,9033.0,-421.0,-54.0,-69.0,-56.0,-55.0,1275.0,108.0,602.0,384.0
553352999,8,2944.0,7251.0,8994.0,-501.0,-53.0,-69.0,-56.0,-47.0,1305.0,88.0,546.0,745.0
553353017,8,2475.0,7192.0,8955.0,-1035.0,-59.0,-70.0,-59.0,-48.0,1464.0,200.0,621.0,1057.0
553353037,8,2632.0,7104.0,9547.0,-30.0,-59.0,-69.0,-55.0,-50.0,1518.0,164.0,662.0,277.0
553353053,8,2632.0,7046.0,8955.0,-69.0,-59.0,-69.0,-58.0,-52.0,1448.0,183.0,626.0,253.0
553353071,8,2592.0,7163.0,8968.0,-32.0,-59.0,-69.0,-56.0,-51.0,1495.0,155.0,565.0,569.0
553353086,8,2671.0,7104.0,8877.0,-801.0,-59.0,-69.0,-59.0,-50.0,1534.0,155.0,597.0,906.0
553353103,8,2861.0,7134.0,8929.0,-108.0,-54.0,-69.0,-56.0,-55.0,1364.0,167.0,597.0,265.0
553353121,8,2514.0,7163.0,8838.0,-127.0,-59.0,-69.0,-58.0,-55.0,1533.0,174.0,679.0,253.0
553353138,8,2475.0,7163.0,8916.0,-354.0,-58.0,-69.0,-58.0,-49.0,1451.0,173.0,657.0,838.0
553353155,8,2475.0,7163.0,8916.0,-501.0,-59.0,-69.0,-54.0,-54.0,1232.0,151.0,788.0,991.0
553353170,8,2788.0,7192.0,8916.0,-186.0,-58.0,-69.0,-58.0,-54.0,1224.0,116.0,654.0,286.0
553353188,8,2632.0,7251.0,9508.0,-1230.0,-58.0,-69.0,-55.0,-48.0,1199.0,103.0,756.0,1137.0
553353205,8,2666.0,7192.0,9033.0,-639.0,-53.0,-69.0,-58.0,-48.0,1168.0,122.0,560.0,654.0
553353223,8,2788.0,7221.0,9163.0,-186.0,-59.0,-69.0,-56.0,-53.0,1180.0,135.0,598.0,303.0
553353239,8,2593.0,7104.0,8955.0,-186.0,-59.0,-69.0,-58.0,-53.0,1236.0,194.0,686.0,279.0
553353253,8,2593.0,7075.0,8994.0,-147.0,-58.0,-69.0,-58.0,-53.0,1249.0,148.0,636.0,276.0
553353271,8,2593.0,,8877.0,-264.0,-59.0,,-58.0,-53.0,1305.0,,617.0,642.0
553353272,8,,7134.0,,,,-69.0,,,,165.0,,
553353289,8,2710.0,7075.0,8889.0,-1391.0,-59.0,-69.0,-55.0,-45.0,1292.0,201.0,598.0,1096.0
553353305,8,2593.0,7192.0,8994.0,-186.0,-59.0,-69.0,-58.0,-47.0,1335.0,100.0,562.0,262.0
553353321,8,2593.0,7075.0,9124.0,-342.0,-59.0,-69.0,-55.0,-53.0,1305.0,191.0,659.0,317.0
553353338,8,2588.0,7134.0,9033.0,-2353.0,-53.0,-69.0,-58.0,-42.0,1397.0,153.0,644.0,1349.0
553353355,8,2671.0,7104.0,9241.0,-303.0,-59.0,-69.0,-55.0,-54.0,1370.0,216.0,589.0,411.0
553353374,8,2671.0,7163.0,8994.0,-581.0,-59.0,-69.0,-58.0,-47.0,1342.0,125.0,572.0,562.0
