Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5835,134,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5835,134,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4053,558,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5835,134,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4053,558,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1186,426,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,5835,134,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4053,558,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1186,426,6048968509,true
8-11,2024-12-27 14:23:07.871,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,4071,546,6048968509,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5014,1227,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5014,1227,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4619,276,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5014,1227,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4619,276,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1030,462,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5014,1227,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-58,4619,276,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1030,462,6048968669,true
8-11,2024-12-27 14:23:08.030,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,5440,1443,6048968669,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5210,129,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5210,129,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,5928,1749,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5210,129,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,5928,1749,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1030,488,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,5210,129,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,5928,1749,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1030,488,6048968793,true
8-11,2024-12-27 14:23:08.155,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,4705,383,6048968793,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5024,318,6048968916,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5024,318,6048968916,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1303,393,6048968916,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5024,318,6048968916,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,1303,393,6048968916,true
8-11,2024-12-27 14:23:08.277,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,5350,85,6048968916,true
8-11,2024-12-27 14:23:08.428,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5112,186,6048969067,true
8-11,2024-12-27 14:23:08.428,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5112,186,6048969067,true
8-11,2024-12-27 14:23:08.428,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,4551,2003,6048969067,true
8-11,2024-12-27 14:23:08.428,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,5112,186,6048969067,true
8-11,2024-12-27 14:23:08.428,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,4551,2003,6048969067,true
