timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
605605504,6-8,-0.010204081632653,10020.524198308089,9972.963716814158,1640.055910543131,-57.0,-66.0,-63.0,-61.0
605605513,6-8,-0.0058479532163742,10123.735068466543,7730.907804878049,1640.9091412742382,-57.0,-66.0,-65.0,-60.0
605605527,6-8,61.42061281337048,7502.776569128685,7791.950282485876,1521.5921671018275,-56.0,-67.0,-65.0,-61.0
605605536,6-8,-22.799311926605505,7926.727884009245,4874.612373349709,1141.0830885438522,-56.0,-67.0,-63.0,-62.0
605605564,6-8,54.86116322701688,8255.332800681794,5109.304540590123,1402.5668512658228,-55.0,-65.0,-65.0,-61.0
605605592,6-8,-5.819648093841642,7730.718677125291,4890.37809949176,1200.734934681837,-56.0,-66.0,-65.0,-61.0
605605619,6-8,48.81636060100167,8240.823084994752,5129.432997443225,1274.0016339869285,-56.0,-66.0,-64.0,-61.0
605605646,6-8,,,4983.827248718348,1445.2597809076683,,,-63.0,-61.0
605605647,6-8,43.778894472361806,8448.223274695534,,,-56.0,-66.0,,
605605661,6-8,0.5447941888619854,8537.531317717468,4965.39039039039,1327.0977596741343,-56.0,-66.0,-61.0,-61.0
605605675,6-8,-87.77014925373135,9320.0057394691,4801.818687258688,1655.592537864795,-50.0,-67.0,-66.0,-60.0
605605688,6-8,49.56101694915255,8311.386254225135,4877.60752688172,1518.6028853454825,-56.0,-67.0,-66.0,-60.0
605605703,6-8,0.4924623115577889,8172.154840777944,5037.814359441409,1263.3673798950342,-56.0,-66.0,-65.0,-59.0
605605717,6-8,55.91013384321224,8598.524108356865,5008.0625382263,1370.0498454404944,-56.0,-65.0,-64.0,-64.0
605605732,6-8,14.391014975041598,8381.982973083197,4921.4545877247365,551.0819467554076,-56.0,-66.0,-64.0,-55.0
605605749,6-8,-0.9442622950819672,8188.521555715609,4973.011316075027,1488.3497179693798,-56.0,-66.0,-65.0,-62.0
