Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn,Corrected Distance (mm)
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2798,847,6658243916,True,2147.820027434842
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2798,847,6658243916,True,2147.820027434842
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2646,218,6658243916,True,2444.593575418994
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2798,847,6658243916,True,2147.820027434842
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2646,218,6658243916,True,2444.593575418994
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,2866,638,6658243916,True,2344.165525114155
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2798,847,6658243916,True,2147.820027434842
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2646,218,6658243916,True,2444.593575418994
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,2866,638,6658243916,True,2344.165525114155
11-9,2025-01-03 15:37:33.523,MCSLab RTT AP3,b0:e4:d5:88:16:86,-67,4383,533,6658243916,True,3907.7886493083806
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,2944,892,6658244039,True,2259.420229405631
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,2944,892,6658244039,True,2259.420229405631
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2529,348,6658244039,True,2223.093847758081
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,2944,892,6658244039,True,2259.420229405631
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2529,348,6658244039,True,2223.093847758081
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3022,405,6658244039,True,2664.862562007587
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,2944,892,6658244039,True,2259.420229405631
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-50,2529,348,6658244039,True,2223.093847758081
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3022,405,6658244039,True,2664.862562007587
11-9,2025-01-03 15:37:33.648,MCSLab RTT AP3,b0:e4:d5:88:16:86,-67,5291,175,6658244039,True,5121.602817416758
11-9,2025-01-03 15:37:33.771,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,4507,393,6658244164,True,4145.520204081632
