timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
33975414,11-4,4438.0,1714.0,7666.0,2586.0,-68.0,-60.0,-62.0,-61.0,1371.0,1083.0,656.0,987.0
33975426,11-4,5112.0,1919.0,7197.0,2586.0,-68.0,-60.0,-62.0,-62.0,1212.0,1072.0,1291.0,746.0
33975438,11-4,4819.0,483.0,5635.0,2625.0,-68.0,-63.0,-61.0,-64.0,1132.0,520.0,894.0,2364.0
33975450,11-4,5229.0,483.0,5283.0,2742.0,-67.0,-64.0,-60.0,-63.0,1696.0,370.0,2323.0,563.0
33975463,11-4,7983.0,14.0,9853.0,2604.0,-67.0,-59.0,-60.0,-61.0,1061.0,630.0,228.0,2133.0
33975475,11-4,4995.0,93.0,5557.0,2469.0,-68.0,-60.0,-62.0,-64.0,1483.0,653.0,1071.0,903.0
33975488,11-4,4848.0,53.0,5400.0,2703.0,-68.0,-58.0,-62.0,-61.0,1787.0,612.0,1884.0,1800.0
33975500,11-4,4643.0,171.0,5205.0,2625.0,-67.0,-58.0,-62.0,-63.0,1667.0,565.0,1481.0,742.0
33975512,11-4,4790.0,14.0,5361.0,2821.0,-67.0,-59.0,-62.0,-62.0,1529.0,630.0,1124.0,2573.0
33975525,11-4,6225.0,210.0,6221.0,2547.0,-67.0,-58.0,-61.0,-63.0,2011.0,428.0,951.0,2491.0
33975536,11-4,4673.0,288.0,6338.0,2547.0,-67.0,-58.0,-61.0,-63.0,1705.0,495.0,601.0,2280.0
33975548,11-4,5083.0,288.0,5322.0,2664.0,-67.0,-58.0,-61.0,-62.0,1361.0,477.0,1316.0,2665.0
33975562,11-4,5083.0,171.0,5361.0,2664.0,-67.0,-58.0,-62.0,-63.0,1321.0,552.0,1230.0,1363.0
33975577,11-4,4731.0,288.0,5478.0,2664.0,-66.0,-59.0,-62.0,-63.0,1729.0,466.0,1052.0,2494.0
33975591,11-4,4672.0,249.0,6064.0,2625.0,-67.0,-58.0,-60.0,-61.0,1879.0,464.0,757.0,1033.0
33975606,11-4,4790.0,93.0,5088.0,2743.0,-67.0,-58.0,-62.0,-61.0,1760.0,579.0,1083.0,2626.0
33975620,11-4,4848.0,210.0,6260.0,2664.0,-67.0,-58.0,-60.0,-63.0,1553.0,447.0,1304.0,1424.0
33975634,11-4,4878.0,327.0,5400.0,2743.0,-67.0,-58.0,-62.0,-62.0,1640.0,400.0,1014.0,2072.0
33975649,11-4,4761.0,132.0,5371.0,2586.0,-67.0,-58.0,-62.0,-62.0,1634.0,576.0,905.0,1132.0
33975663,11-4,4907.0,288.0,5400.0,2664.0,-67.0,-58.0,-63.0,-60.0,1510.0,466.0,1015.0,1970.0
33975678,11-4,4936.0,210.0,5400.0,2860.0,-67.0,-58.0,-61.0,-61.0,1495.0,558.0,1131.0,1764.0
33975691,11-4,4966.0,210.0,5205.0,2664.0,-67.0,-58.0,-62.0,-62.0,1575.0,504.0,1113.0,2208.0
33975704,11-4,4966.0,54.0,5205.0,2782.0,-67.0,-57.0,-61.0,-63.0,1495.0,595.0,1173.0,2186.0
33975717,11-4,5024.0,288.0,5127.0,2782.0,-67.0,-58.0,-60.0,-63.0,1534.0,393.0,2531.0,2224.0
33975732,11-4,4819.0,288.0,5049.0,2742.0,-66.0,-58.0,-59.0,-63.0,1625.0,433.0,1309.0,2014.0
33975746,11-4,5141.0,171.0,4971.0,2547.0,-66.0,-58.0,-63.0,-57.0,1568.0,481.0,2838.0,2102.0
33975761,11-4,5346.0,210.0,5049.0,1776.0,-67.0,-58.0,-62.0,-56.0,1475.0,568.0,1285.0,2392.0
33975776,11-4,5259.0,171.0,5166.0,2785.0,-67.0,-58.0,-62.0,-60.0,1333.0,565.0,1225.0,898.0
33975789,11-4,4878.0,327.0,5088.0,2742.0,-67.0,-58.0,-62.0,-61.0,1477.0,400.0,1159.0,1885.0
33975802,11-4,4907.0,93.0,5283.0,2782.0,-67.0,-59.0,-62.0,-63.0,1701.0,590.0,1252.0,1913.0
33975815,11-4,5024.0,132.0,5478.0,2664.0,-67.0,-58.0,-63.0,-63.0,1600.0,541.0,1159.0,2333.0
33975830,11-4,4966.0,249.0,5244.0,2625.0,-67.0,-59.0,-61.0,-62.0,1422.0,455.0,1143.0,2337.0
33975850,11-4,4819.0,210.0,5518.0,2664.0,-67.0,-58.0,-62.0,-63.0,1731.0,530.0,1265.0,2483.0
33975864,11-4,5024.0,93.0,5830.0,2742.0,-68.0,-59.0,-61.0,-62.0,1389.0,603.0,750.0,2221.0
33975881,11-4,5171.0,171.0,5166.0,2742.0,-68.0,-58.0,-60.0,-63.0,1627.0,534.0,1175.0,1997.0
33975899,11-4,4878.0,-24.0,6429.0,2743.0,-67.0,-58.0,-59.0,-63.0,1680.0,673.0,998.0,1937.0
33975918,11-4,4702.0,249.0,5166.0,2664.0,-68.0,-58.0,-61.0,-57.0,1876.0,450.0,1018.0,3052.0
33975935,11-4,4819.0,93.0,5049.0,2782.0,-67.0,-58.0,-62.0,-62.0,1805.0,630.0,1392.0,1180.0
33975952,11-4,4878.0,93.0,5439.0,2703.0,-67.0,-58.0,-61.0,-63.0,1615.0,625.0,968.0,1224.0
33975969,11-4,4936.0,288.0,5205.0,2899.0,-68.0,-58.0,-62.0,-63.0,1644.0,474.0,1118.0,1591.0
33975986,11-4,5024.0,327.0,6663.0,2625.0,-67.0,-58.0,-60.0,-63.0,1510.0,405.0,1214.0,2309.0
