timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
725183766,1-1,3999.0,7339.0,14219.0,-303.0,-65.0,-68.0,-65.0,-50.0,986.0,295.0,580.0,968.0
725181059,1-1,3921.0,7368.0,12835.0,-420.0,-65.0,-68.0,-64.0,-54.0,1071.0,1013.0,765.0,671.0
725181188,1-1,4038.0,6928.0,12510.0,-651.0,-65.0,-69.0,-64.0,-52.0,986.0,375.0,562.0,770.0
725183720,1-1,4038.0,7163.0,13955.0,-381.0,-65.0,-68.0,-65.0,-54.0,1042.0,267.0,527.0,555.0
725182360,1-1,4077.0,7163.0,13281.0,-342.0,-65.0,-68.0,-64.0,-54.0,996.0,137.0,826.0,428.0
725183448,1-1,4038.0,7358.0,13174.0,-342.0,-66.0,-68.0,-65.0,-54.0,999.0,912.0,462.0,488.0
725186180,1-1,3882.0,7075.0,13603.0,-460.0,-66.0,-68.0,-64.0,-54.0,1029.0,219.0,778.0,576.0
725183564,1-1,4077.0,7397.0,14072.0,-342.0,-65.0,-68.0,-66.0,-54.0,956.0,865.0,505.0,492.0
725186929,1-1,4116.0,6899.0,11474.0,-310.0,-68.0,-71.0,-63.0,-47.0,976.0,319.0,695.0,2389.0
725181710,1-1,3960.0,7241.0,12627.0,-381.0,-64.0,-68.0,-66.0,-54.0,980.0,118.0,565.0,507.0
725186901,1-1,4194.0,7007.0,14043.0,-333.0,-68.0,-71.0,-68.0,-53.0,908.0,93.0,401.0,818.0
725186123,1-1,3960.0,7163.0,13486.0,-381.0,-66.0,-68.0,-65.0,-54.0,1025.0,252.0,599.0,507.0
725181694,1-1,3882.0,7241.0,12822.0,-303.0,-65.0,-68.0,-64.0,-49.0,1017.0,102.0,412.0,903.0
725186743,1-1,3843.0,7632.0,13096.0,-450.0,-64.0,-69.0,-66.0,-54.0,1050.0,1093.0,115.0,665.0
725184479,1-1,4077.0,7309.0,14043.0,-460.0,-65.0,-68.0,-65.0,-54.0,894.0,163.0,468.0,576.0
725185842,1-1,3999.0,7046.0,13721.0,-460.0,-66.0,-68.0,-65.0,-54.0,931.0,434.0,691.0,546.0
