timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
604735765,1-1,3231.986809563067,6487.703058823529,11404.843618105078,-98.7129266927812,-62.0,-72.0,-64.0,-47.0
604729711,1-1,3326.3816289773863,6898.118376969847,11150.118645302258,-116.71263099834528,-62.0,-72.0,-64.0,-47.0
604731089,1-1,3163.6484284051226,6952.369905184091,10389.732774925697,-133.72771213748658,-57.0,-72.0,-60.0,-45.0
604730255,1-1,3175.055679287305,7227.945935960592,10364.896936119085,-101.74569460390356,-62.0,-72.0,-63.0,-47.0
604730340,1-1,3210.810810810811,7086.499570815451,11348.140495867769,-87.76360338573154,-62.0,-72.0,-63.0,-48.0
604730837,1-1,3164.164648910412,7082.91083117204,11068.869440664615,-100.07961603613778,-62.0,-72.0,-63.0,-47.0
604733076,1-1,3051.050009922604,7040.071251855517,10616.940914158306,-131.86264367816094,-62.0,-72.0,-65.0,-42.0
604731844,1-1,3057.399878271455,6970.912653975364,11192.31110145557,-113.7023105857066,-62.0,-72.0,-64.0,-47.0
604732906,1-1,,6868.289597232518,11073.405021609386,-133.9435180204411,,-72.0,-62.0,-47.0
604729401,1-1,,7023.285980843389,11785.467744395302,-139.80965749578888,,-72.0,-62.0,-41.0
604733741,1-1,2867.3614920460777,7109.165210973059,11236.77159115465,-170.9958911145352,-57.0,-72.0,-64.0,-45.0
604733700,1-1,3019.419755560008,6941.326503232101,10709.48363737641,-84.79030373831776,-57.0,-72.0,-64.0,-45.0
604733175,1-1,3035.388153998025,7037.29228468154,10759.110616080752,-163.6014742014742,-62.0,-72.0,-64.0,-48.0
604735681,1-1,3102.083985179086,7142.553948832036,10655.059565402642,-107.8239608801956,-62.0,-72.0,-65.0,-43.0
604730397,1-1,3253.930153661944,7089.977180714022,10414.587088590692,-23.8355871886121,-62.0,-72.0,-64.0,-45.0
604735355,1-1,3089.0578661844484,6985.918831972284,11245.85830225927,-104.81431105854524,-62.0,-72.0,-64.0,-45.0
604729668,1-1,3073.612890067306,7169.796159527327,11350.122934567082,-163.84301181102362,-62.0,-72.0,-64.0,-47.0
604730663,1-1,3233.320056611403,7196.042300147131,10929.099937539038,-112.5,-62.0,-72.0,-61.0,-47.0
604734975,1-1,3085.3383503913306,6903.90942698706,11059.364865831843,-132.54442732408833,-62.0,-72.0,-64.0,-47.0
604731773,1-1,3090.299698492462,7001.51240079365,11234.541271210814,-67.33292608430054,-62.0,-72.0,-64.0,-42.0
604734221,1-1,3157.354590325765,6826.624907155237,12117.43907330567,-90.10614525139664,-62.0,-72.0,-61.0,-47.0
604732735,1-1,3095.459928938018,6928.481531476255,11216.300078723252,-106.13233532934132,-62.0,-72.0,-64.0,-48.0
604731660,1-1,2972.82816032888,6939.827201783724,11340.731744202792,-116.71263099834528,-62.0,-72.0,-64.0,-47.0
604734514,1-1,3079.775841346154,6794.421026282854,11308.157475226197,-106.25959232613909,-62.0,-72.0,-64.0,-47.0
604729230,1-1,,8286.655602143024,13168.669223979903,-304.1650485436893,,-72.0,-60.0,-44.0
604734094,1-1,3199.655416012559,6877.636521093654,11287.091735116666,-97.70727673649394,-62.0,-72.0,-62.0,-47.0
604729425,1-1,,7281.072026191342,11138.269241856444,-100.1927642736009,,-72.0,-62.0,-47.0
604730551,1-1,2425.398469688052,7219.943535490221,10449.234264079509,-117.52756819500873,-50.0,-72.0,-64.0,-48.0
604735469,1-1,3009.170127795527,7169.670290740288,11310.11151576954,-115.62841530054644,-62.0,-72.0,-64.0,-47.0
604731989,1-1,2917.4225806451614,7112.777998263674,11221.023341523343,-135.25366876310272,-62.0,-72.0,-64.0,-47.0
604732963,1-1,3423.7098533283192,6869.1382676387,10797.338224045616,-104.19811875367432,-57.0,-72.0,-64.0,-46.0
604731801,1-1,3185.657569721116,6890.4234010907285,10731.982663731424,-88.45886654478977,-62.0,-72.0,-64.0,-47.0
604735089,1-1,3036.454563771912,7110.914728682171,11162.40242669363,-101.86264367816092,-62.0,-72.0,-64.0,-47.0
604732171,1-1,3099.7430322198065,7066.5693323551,11259.480332010104,-130.9842188321936,-62.0,-72.0,-64.0,-47.0
604730019,1-1,3126.939182452642,7211.958835094619,11277.190703130727,-116.71263099834528,-62.0,-72.0,-64.0,-48.0
604732421,1-1,3123.2025492929697,6889.569463378361,11355.451471012404,-119.34574168076706,-62.0,-72.0,-64.0,-47.0
604729519,1-1,3156.521739130435,7096.071218074656,11319.182845552014,-98.0,-62.0,-72.0,-62.0,-43.0
604735243,1-1,3057.724940334129,7039.441389468516,11271.68352601156,-72.55831265508685,-62.0,-72.0,-62.0,-47.0
604731403,1-1,,7020.964224031582,,,,-72.0,,
604730297,1-1,3173.1282881424527,7045.494963144964,10300.894694748067,-82.75997719498291,-62.0,-72.0,-63.0,-43.0
604729793,1-1,3093.169950738916,6960.941437553939,11131.964932787843,-56.04945054945055,-61.0,-72.0,-63.0,-48.0
604735033,1-1,2954.911764705882,7029.636363636363,10868.75567672027,-104.38221436984688,-62.0,-72.0,-64.0,-47.0
604731702,1-1,2939.946363266965,6931.241494494618,11142.003566229983,-103.95366568914956,-62.0,-72.0,-62.0,-45.0
604735808,1-1,3094.440246406571,7435.66210653753,11647.711057430062,-35.17773019271949,-62.0,-72.0,-63.0,-44.0
604730353,1-1,3222.894195888755,7115.492792572684,10879.1726364015,-71.93357933579335,-62.0,-72.0,-64.0,-47.0
604734850,1-1,3098.518079430942,7005.408173313638,11270.664624808576,-119.2112676056338,-62.0,-72.0,-64.0,-47.0
604734723,1-1,2979.953389830508,6888.715737298637,,,-62.0,-72.0,,
604730509,1-1,3134.439336398161,7049.663817663818,11126.968616262484,-100.87706317586796,-62.0,-72.0,-64.0,-48.0
