Starting Wi-Fi RTT Ranging...
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 893 mm, StdDev: 59 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 893 mm, StdDev: 59 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 4416 mm, StdDev: 122 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 893 mm, StdDev: 59 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 4416 mm, StdDev: 122 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 3262 mm, StdDev: 82 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 893 mm, StdDev: 59 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 4416 mm, StdDev: 122 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 3262 mm, StdDev: 82 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.738, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -64, Distance: 4952 mm, StdDev: 120 mm, timeStemp: 7254727131, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 1011 mm, StdDev: 131 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 1011 mm, StdDev: 131 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 4982 mm, StdDev: 139 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 1011 mm, StdDev: 131 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 4982 mm, StdDev: 139 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -64, Distance: 3664 mm, StdDev: 1037 mm, timeStemp: 7254727238, mcOn: true
Label: 11-5, Timestamp: 2025-01-10 13:18:56.847, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 1011 mm, StdDev: 131 mm, timeStemp: 7254727238, mcOn: true
