Starting Wi-Fi RTT Ranging...
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 3100 mm, StdDev: 629 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 3100 mm, StdDev: 629 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8447 mm, StdDev: 178 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 3100 mm, StdDev: 629 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8447 mm, StdDev: 178 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4116 mm, StdDev: 1221 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -71, Distance: 3100 mm, StdDev: 629 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8447 mm, StdDev: 178 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -65, Distance: 4116 mm, StdDev: 1221 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.498, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -48, Distance: -381 mm, StdDev: 639 mm, timeStemp: 5535856137, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3061 mm, StdDev: 538 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3061 mm, StdDev: 538 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 8476 mm, StdDev: 264 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3061 mm, StdDev: 538 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 8476 mm, StdDev: 264 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 3764 mm, StdDev: 1762 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3061 mm, StdDev: 538 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -59, Distance: 8476 mm, StdDev: 264 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -66, Distance: 3764 mm, StdDev: 1762 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.623, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -49, Distance: -420 mm, StdDev: 701 mm, timeStemp: 5535856261, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 3061 mm, StdDev: 598 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 3061 mm, StdDev: 598 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 8486 mm, StdDev: 178 mm, timeStemp: 5535856383, mcOn: true
Label: 17, Timestamp: 2024-12-21 15:51:15.744, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 3061 mm, StdDev: 598 mm, timeStemp: 5535856383, mcOn: true
