Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
48,2024-12-21 16:41:54.260,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1694,495,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1694,495,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7920,459,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1694,495,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7920,459,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,5835,1067,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,1694,495,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7920,459,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,5835,1067,5538894898,true
48,2024-12-21 16:41:54.260,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,1375,1128,5538894898,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,1772,385,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,1772,385,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7705,286,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,1772,385,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7705,286,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,6108,974,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,1772,385,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7705,286,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,6108,974,5538895021,true
48,2024-12-21 16:41:54.382,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,1453,586,5538895021,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1850,446,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1850,446,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7900,185,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1850,446,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7900,185,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,6303,674,5538895145,true
48,2024-12-21 16:41:54.506,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,1850,446,5538895145,true
