Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10093,73,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10093,73,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10071,99,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10093,73,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10071,99,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-1,97,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10093,73,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,10071,99,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-1,97,6056055048,true
6-8,2024-12-27 16:21:14.410,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,1755,123,6056055048,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10210,87,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10210,87,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7962,238,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10210,87,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7962,238,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-1,170,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,10210,87,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7962,238,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,-1,170,6056055138,true
6-8,2024-12-27 16:21:14.500,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,1721,84,6056055138,true
6-8,2024-12-27 16:21:14.633,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,8305,888,6056055272,true
6-8,2024-12-27 16:21:14.633,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,8305,888,6056055272,true
6-8,2024-12-27 16:21:14.633,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7878,87,6056055272,true
