Starting Wi-Fi RTT Ranging...
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 1889 mm, StdDev: 175 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 1889 mm, StdDev: 175 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8252 mm, StdDev: 124 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 1889 mm, StdDev: 175 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8252 mm, StdDev: 124 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4467 mm, StdDev: 1512 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -65, Distance: 1889 mm, StdDev: 175 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 8252 mm, StdDev: 124 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -63, Distance: 4467 mm, StdDev: 1512 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.259, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -57, Distance: 758 mm, StdDev: 554 mm, timeStemp: 6054886897, mcOn: true
Label: 8-1, Timestamp: 2024-12-27 16:01:46.394, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 2085 mm, StdDev: 217 mm, timeStemp: 6054887024, mcOn: true
