Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
3,2024-11-28 14:11:19.622,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8276,465,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8276,465,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7583,367,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8276,465,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7583,367,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,132,374,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8276,465,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7583,367,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,132,374,3542660262,true
3,2024-11-28 14:11:19.622,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,3695,477,3542660262,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,9077,323,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,9077,323,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7387,406,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,9077,323,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7387,406,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,249,1261,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,9077,323,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,7387,406,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,249,1261,3542660433,true
3,2024-11-28 14:11:19.793,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,4310,365,3542660433,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,8764,500,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,8764,500,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7739,297,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,8764,500,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7739,297,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,327,125,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71,8764,500,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7739,297,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,327,125,3542660533,true
3,2024-11-28 14:11:19.892,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,4720,358,3542660532,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,9858,1019,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,9858,1019,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,7466,360,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,9858,1019,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,7466,360,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,249,123,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,9858,1019,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,7466,360,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,249,123,3542660635,true
3,2024-11-28 14:11:19.995,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,4046,768,3542660635,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,9038,1195,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,9038,1195,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7661,262,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,9038,1195,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7661,262,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,219,192,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,9038,1195,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,7661,262,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,219,192,3542660738,true
3,2024-11-28 14:11:20.102,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,4163,596,3542660738,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,9077,1548,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,9077,1548,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7739,202,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,9077,1548,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7739,202,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-776,1364,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,9077,1548,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,7739,202,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP1,24:29:34:e2:4c:36,-54,-776,1364,3542660841,true
3,2024-11-28 14:11:20.215,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,4427,333,3542660841,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8569,205,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8569,205,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7544,308,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8569,205,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7544,308,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,210,205,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,8569,205,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,7544,308,3542660942,true
3,2024-11-28 14:11:20.309,MCSLab RTT AP1,24:29:34:e2:4c:36,-53,210,205,3542660942,true
