timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
3543326469,14,,,8989.0,-667.0,,,-59.0,-43.0,,,129.0,837.0
3543326606,14,,,8950.0,-777.0,,,-59.0,-44.0,,,165.0,1592.0
3543326779,14,,,8716.0,-582.0,,,-57.0,-45.0,,,170.0,1949.0
3543326846,14,,,8960.0,-660.0,,,-58.0,-44.0,,,125.0,2317.0
3543326913,14,,,9028.0,-582.0,,,-58.0,-44.0,,,129.0,2030.0
3543327014,14,,,8872.0,-933.0,,,-58.0,-44.0,,,189.0,1653.0
3543327120,14,,,8872.0,-777.0,,,-58.0,-44.0,,,197.0,2171.0
3543327246,14,,,8950.0,-660.0,,,-58.0,-45.0,,,123.0,1748.0
3543327353,14,,,8931.0,-738.0,,,-57.0,-44.0,,,211.0,2067.0
3543327463,14,,,8833.0,-816.0,,,-58.0,-45.0,,,220.0,1089.0
3543327681,14,,,8950.0,-735.0,,,-57.0,-44.0,,,140.0,2271.0
3543327734,14,,,8794.0,-894.0,,,-57.0,-45.0,,,221.0,2360.0
3543327877,14,,,8813.0,-816.0,,,-58.0,-45.0,,,212.0,1719.0
3543328043,14,,,8911.0,-777.0,,,-57.0,-46.0,,,203.0,2126.0
3543328214,14,,,8833.0,-699.0,,,-59.0,-44.0,,,144.0,2075.0
3543328468,14,,,9028.0,-894.0,,,-58.0,-45.0,,,132.0,1973.0
3543328643,14,,,8794.0,-738.0,,,-58.0,-45.0,,,192.0,2282.0
3543328810,14,,,8960.0,-735.0,,,-58.0,-44.0,,,149.0,2063.0
3543328982,14,,,,-571.0,,,,-40.0,,,,1982.0
3543328983,14,,,8833.0,,,,-58.0,,,,229.0,
3543329151,14,,,8872.0,-933.0,,,-58.0,-45.0,,,137.0,2071.0
