timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
3542554248,1,,,8491,6158,,,-57,-64,,,1064,954
3542554378,1,,,10864,5833,,,-56,-64,,,1499,365
3542554486,1,,,8901,5892,,,-57,-59,,,482,227
3542554607,1,,,9497,5745,,,-57,-64,,,138,78
3542554716,1,,,8344,5658,,,-58,-66,,,530,631
3542554816,1,,,8110,5511,,,-58,-65,,,638,967
3542554928,1,,,9077,5775,,,-60,-63,,,271,369
3542555038,1,,,10473,5950,,,-60,-62,,,664,939
3542555150,1,,,10434,5863,,,-59,-62,,,444,136
3542555289,1,,,9888,5335,,,-58,-65,,,301,220
3542555457,1,,,10630,6175,,,-57,-64,,,461,124
3542555627,1,,,9966,5775,,,-57,-63,,,583,347
3542555677,1,,,10200,5706,,,-58,-65,,,443,238
3542555811,1,,,10161,5452,,,-57,-64,,,228,928
3542556063,1,,,10317,5687,,,-57,-66,,,276,900
3542556231,1,,,10434,5921,,,-58,-62,,,968,89
3542556359,1,,,10317,5745,,,-58,-66,,,351,203
3542556494,1,,,9985,5628,,,-57,-66,,,312,88
3542556557,1,,,10630,5540,,,-57,-67,,,843,233
3542556693,1,,,,5628,,,,-67,,,,817
3542556694,1,,,10591,,,,-57,,,,349,
3542556746,1,,,10513,5599,,,-57,-66,,,253,595
3542556904,1,,,10434,5667,,,-58,-66,,,801,386
3542556980,1,,,10395,5716,,,-57,-66,,,216,509
3542557175,1,454,,10239,5687,-64,,-57,-64,656,,218,931
3542557176,1,,8842,,,,-78,,,,65,,
3542557291,1,278,8950,10395,5716,-64,-77,-58,-67,637,52,895,408
3542557418,1,688,8774,10512,5569,-65,-77,-57,-65,466,113,307,385
3542557548,1,952,8843,10434,5716,-63,-77,-57,-66,374,88,176,220
3542557662,1,864,8843,8291,5599,-66,-77,-54,-64,318,64,2664,250
3542557756,1,805,8803,10249,5687,-64,-77,-57,-66,431,82,317,301
3542557933,1,571,8833,10512,5628,-66,-77,-57,-65,451,147,411,277
3542558039,1,395,8843,10434,5489,-65,-77,-58,-66,577,67,501,454
3542558141,1,454,8891,9487,5540,-64,-77,-58,-67,638,98,493,176
3542558251,1,366,8833,9721,5540,-66,-77,-57,-65,546,125,442,137
3542558340,1,249,8774,9634,5452,-64,-77,-57,-66,701,94,500,168
3542558438,1,395,8745,9223,5423,-65,-77,-57,-66,630,117,594,251
3542558588,1,600,8716,9604,5394,-65,-77,-56,-63,540,131,355,120
3542558710,1,600,8716,9194,5423,-63,-77,-57,-65,553,105,600,196
3542558923,1,190,8745,9663,5247,-65,-77,-56,-65,656,115,341,434
3542559116,1,718,8803,9253,5452,-65,-77,-57,-65,359,92,531,195
3542559223,1,630,8843,9370,5394,-64,-77,-57,-63,504,61,420,371
3542559423,1,864,8891,8901,5631,-65,-77,-55,-66,324,77,891,272
3542559527,1,,,9429,5511,,,-57,-66,,,448,154
3542559528,1,835,8774,,,-65,-77,,,427,94,,
3542559735,1,483,8745,9077,5394,-68,-77,-55,-67,553,140,657,303
3542559945,1,454,8803,9634,5452,-65,-77,-55,-65,653,107,751,294
3542560149,1,659,8803,9663,5423,-64,-77,-55,-66,534,71,584,1054
