timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
3542557756,1,805.0,8803.0,10249.0,5687.0,-64.0,-77.0,-57.0,-66.0,431.0,82.0,317.0,301.0
3542568589,1,923.0,8882.0,9282.0,,-64.0,-77.0,-58.0,,354.0,45.0,478.0,
3542564313,1,,,9165.0,5540.0,,,-57.0,-65.0,,,607.0,244.0
3542582165,1,542.0,8745.0,9077.0,5660.0,-66.0,-77.0,-57.0,-64.0,482.0,115.0,631.0,327.0
3542582367,1,630.0,8803.0,9184.0,5423.0,-66.0,-77.0,-55.0,-64.0,480.0,123.0,547.0,403.0
3542571721,1,688.0,8833.0,8500.0,5540.0,-67.0,-77.0,-55.0,-66.0,409.0,90.0,1308.0,152.0
3542581959,1,542.0,8774.0,9136.0,5423.0,-66.0,-78.0,-57.0,-64.0,506.0,113.0,573.0,540.0
3542559735,1,483.0,8745.0,9077.0,5394.0,-68.0,-77.0,-55.0,-67.0,553.0,140.0,657.0,303.0
3542587533,1,600.0,8764.0,9692.0,5423.0,-65.0,-78.0,-57.0,-64.0,519.0,98.0,360.0,370.0
3542586643,1,893.0,8803.0,9692.0,5423.0,-64.0,-78.0,-58.0,-65.0,264.0,180.0,397.0,332.0
3542578060,1,805.0,8745.0,9165.0,5894.0,-65.0,-78.0,-58.0,-63.0,375.0,101.0,695.0,273.0
3542589600,1,,9184.0,,,,-75.0,,,,132.0,,
3542584342,1,718.0,8803.0,10014.0,5452.0,-66.0,-78.0,-57.0,-66.0,393.0,92.0,217.0,251.0
3542564634,1,288.0,,9692.0,5452.0,-65.0,,-57.0,-64.0,673.0,,454.0,415.0
3542575284,1,688.0,8774.0,9194.0,5355.0,-65.0,-78.0,-57.0,-65.0,379.0,129.0,588.0,376.0
3542587776,1,161.0,8921.0,8989.0,5394.0,-66.0,-78.0,-56.0,-63.0,787.0,98.0,719.0,508.0
3542584829,1,747.0,,10317.0,5196.0,-66.0,,-57.0,-61.0,378.0,,209.0,391.0
3542572992,1,747.0,8803.0,9223.0,5482.0,-65.0,-77.0,-57.0,-65.0,423.0,126.0,557.0,234.0
3542567319,1,513.0,,9341.0,5394.0,-66.0,,-56.0,-63.0,506.0,,533.0,1077.0
3542561521,1,718.0,8833.0,9692.0,5226.0,-64.0,-77.0,-56.0,-60.0,488.0,109.0,391.0,417.0
3542583368,1,,8921.0,,,,-78.0,,,,47.0,,
3542579813,1,,,,5423.0,,,,-65.0,,,,251.0
3542559945,1,454.0,8803.0,9634.0,5452.0,-65.0,-77.0,-55.0,-65.0,653.0,107.0,751.0,294.0
3542559423,1,864.0,8891.0,8901.0,5631.0,-65.0,-77.0,-55.0,-66.0,324.0,77.0,891.0,272.0
3542588770,1,,,,5628.0,,,,-60.0,,,,227.0
3542555289,1,,,9888.0,5335.0,,,-58.0,-65.0,,,301.0,220.0
3542556904,1,,,10434.0,5667.0,,,-58.0,-66.0,,,801.0,386.0
3542584008,1,835.0,8764.0,9604.0,5364.0,-66.0,-78.0,-57.0,-66.0,316.0,96.0,493.0,347.0
3542567874,1,,,9341.0,5482.0,,,-56.0,-65.0,,,508.0,400.0
3542557175,1,454.0,,10239.0,5687.0,-64.0,,-57.0,-64.0,656.0,,218.0,931.0
3542568283,1,1011.0,8803.0,9018.0,5423.0,-64.0,-77.0,-57.0,-66.0,305.0,79.0,662.0,422.0
3542562769,1,219.0,8803.0,9575.0,5394.0,-65.0,-77.0,-57.0,-65.0,854.0,94.0,506.0,175.0
3542570901,1,747.0,,9253.0,5601.0,-65.0,,-57.0,-64.0,336.0,,500.0,270.0
3542583815,1,659.0,8862.0,9311.0,5452.0,-66.0,-78.0,-57.0,-65.0,424.0,116.0,570.0,307.0
3542581447,1,805.0,8803.0,9145.0,5482.0,-65.0,-78.0,-56.0,-65.0,449.0,74.0,534.0,719.0
3542554928,1,,,9077.0,5775.0,,,-60.0,-63.0,,,271.0,369.0
3542588771,1,-190.0,8511.0,8960.0,,-62.0,-77.0,-58.0,,1141.0,233.0,696.0,
3542562653,1,513.0,8803.0,9458.0,5335.0,-65.0,-77.0,-56.0,-65.0,664.0,111.0,550.0,247.0
3542568951,1,835.0,8774.0,9253.0,5452.0,-66.0,-77.0,-57.0,-66.0,323.0,141.0,535.0,384.0
3542568830,1,893.0,8862.0,9165.0,5482.0,-65.0,-77.0,-57.0,-65.0,354.0,57.0,524.0,241.0
3542557176,1,,8842.0,,,,-78.0,,,,65.0,,
3542569830,1,913.0,8803.0,9223.0,,-60.0,-77.0,-57.0,,495.0,109.0,571.0,
3542586518,1,805.0,8764.0,,,-64.0,-78.0,,,357.0,94.0,,
3542556693,1,,,,5628.0,,,,-67.0,,,,817.0
3542564041,1,1040.0,8833.0,9546.0,5599.0,-63.0,-77.0,-57.0,-65.0,339.0,116.0,491.0,154.0
3542572691,1,835.0,8882.0,9341.0,5482.0,-66.0,-77.0,-57.0,-65.0,317.0,90.0,447.0,190.0
