Starting Wi-Fi RTT Ranging...
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.298, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 55747 mm, StdDev: 11969 mm, timeStemp: 1985455768, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.298, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 55747 mm, StdDev: 11969 mm, timeStemp: 1985455768, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.298, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 8362 mm, StdDev: 695 mm, timeStemp: 1985455768, mcOn: true
Timestamp: 2024-11-10 13:37:59.373, Ranging failed for one or more APs
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.373, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 8238 mm, StdDev: 780 mm, timeStemp: 1985455812, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.447, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 63716 mm, StdDev: 8476 mm, timeStemp: 1985455921, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.586, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 66060 mm, StdDev: 17184 mm, timeStemp: 1985456060, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.586, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 66060 mm, StdDev: 17184 mm, timeStemp: 1985456060, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.586, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -67, Distance: 8329 mm, StdDev: 198 mm, timeStemp: 1985456060, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.706, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65591 mm, StdDev: 8579 mm, timeStemp: 1985456180, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.706, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65591 mm, StdDev: 8579 mm, timeStemp: 1985456180, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.706, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -67, Distance: 8543 mm, StdDev: 120 mm, timeStemp: 1985456180, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.788, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 49653 mm, StdDev: 20491 mm, timeStemp: 1985456262, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.788, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 49653 mm, StdDev: 20491 mm, timeStemp: 1985456262, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.788, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 8552 mm, StdDev: 163 mm, timeStemp: 1985456262, mcOn: true
Timestamp: 2024-11-10 13:37:59.904, Ranging failed for one or more APs
Label: demo nonmc, Timestamp: 2024-11-10 13:37:59.904, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 8500 mm, StdDev: 195 mm, timeStemp: 1985456378, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.194, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -61, Distance: 65591 mm, StdDev: 6744 mm, timeStemp: 1985456667, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.265, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -59, Distance: 58091 mm, StdDev: 16231 mm, timeStemp: 1985456739, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:00.265, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -59, Distance: 58091 mm, StdDev: 16231 mm, timeStemp: 1985456739, mcOn: false
