Label,X Position (meters),Y Position (meters),AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP5_Distance (mm),AP6_Distance (mm),AP7_Distance (mm),AP8_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP5_Rssi,AP6_Rssi,AP7_Rssi,AP8_Rssi
0,-0.41,15.69,46255.65,20295.9,46323,42110.25,49340.85,42439.5,32768.85,45464.85,-67,-36,-69,-71,-75,-60,-55,-71
0,-0.41,15.69,46255.2,20296.05,46324.8,42109.8,49344,42443.25,32764.05,45112.5,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46254.6,20296.35,46326.75,42109.2,49347.3,42447,32759.4,46508.25,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46254.15,20296.5,46328.4,42108.75,49350.45,42450.9,32754.6,45545.7,-67,-36,-69,-71,-75,-60,-55,-71
0,-0.41,15.69,46253.7,20296.65,46330.2,42108.3,49353.6,42454.8,32749.95,45765.3,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46252.2,20296.95,46335.6,42106.8,49363.2,42466.35,32735.55,45277.5,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46250.7,20297.4,46341.15,42105.3,49372.65,42477.75,32721.3,47098.8,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46250.25,20297.55,46342.95,42104.85,49375.95,42481.5,32716.65,46171.65,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46249.35,20297.7,46346.55,42103.8,49382.4,42489.3,32707.2,47465.4,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46248.9,20297.85,46348.35,42103.35,49385.55,42493.05,32702.4,47115.3,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46248.45,20298,46350.15,42102.9,49388.7,42496.95,32697.6,45712.2,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46247.4,20298.3,46353.75,42102,49395.15,42504.6,32688.3,45257.85,-67,-36,-69,-71,-75,-60,-55,-72
0,-0.41,15.69,46246.95,20298.45,46355.55,42101.55,49398.3,42508.5,32683.5,44862.9,-67,-36,-69,-71,-75,-61,-55,-72
0,-0.41,15.69,46246.35,20298.6,46357.35,42100.95,49401.6,42512.25,32678.7,44958.9,-67,-36,-69,-71,-75,-61,-55,-72
0,-0.41,15.69,46245.45,20298.9,46360.95,42100.05,49407.9,42519.9,32669.1,45051.6,-67,-36,-69,-71,-75,-61,-55,-71
0,-0.41,15.69,46245,20299.05,46362.75,42099.45,49411.2,42523.8,32664.6,45258.45,-67,-36,-69,-71,-75,-61,-55,-72
0,-0.41,15.69,46244.55,20299.2,46364.55,42099,49414.2,42527.55,32659.8,46648.5,-67,-36,-69,-71,-75,-61,-55,-72
0,-0.41,15.69,46243.95,20299.35,46366.35,42098.55,49417.35,42531.45,32655,46903.05,-67,-36,-69,-71,-75,-61,-55,-72
0,-0.41,15.69,46242.6,20299.65,46371.75,42097.05,49427.1,42542.85,32640.75,45262.5,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46242,20299.8,46373.55,42096.6,49430.25,42546.75,32635.95,45168.75,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46241.55,20299.95,46375.35,42096.15,49433.4,42550.65,32631.3,45564.3,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46241.1,20300.1,46377.3,42095.7,49436.55,42554.4,32626.5,46976.7,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46240.5,20300.25,46379.1,42095.1,49439.85,42558.15,32621.85,47058.45,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46240.05,20300.4,46380.9,42094.65,49443,42562.05,32617.05,45342.45,-67,-36,-69,-71,-76,-61,-55,-72
