relative time,X Position (meters),Y Position (meters),AP1 FTM,AP1 RSSI,AP2 FTM,AP2 RSSI,AP3 FTM,AP3 RSSI,AP4 FTM,AP4 RSSI,AP5 FTM,AP5 RSSI,AP6 FTM,AP6 RSSI,AP7 FTM,AP7 RSSI,AP8 FTM,AP8 RSSI
0.65,-0.41,15.69,308371,-67,135306,-36,308820,-69,280735,-71,328939,-75,282930,-60,218459,-55,303099,-71
0.66,-0.41,15.69,308368,-67,135307,-36,308832,-69,280732,-71,328960,-75,282955,-60,218427,-55,300750,-72
0.67,-0.41,15.69,308364,-67,135309,-36,308845,-69,280728,-71,328982,-75,282980,-60,218396,-55,310055,-72
0.68,-0.41,15.69,308361,-67,135310,-36,308856,-69,280725,-71,329003,-75,283006,-60,218364,-55,303638,-71
0.69,-0.41,15.69,308358,-67,135311,-36,308868,-69,280722,-71,329024,-75,283032,-60,218333,-55,305102,-72
0.72,-0.41,15.69,308348,-67,135313,-36,308904,-69,280712,-71,329088,-75,283109,-60,218237,-55,301850,-72
0.75,-0.41,15.69,308338,-67,135316,-36,308941,-69,280702,-71,329151,-75,283185,-60,218142,-55,313992,-72
0.76,-0.41,15.69,308335,-67,135317,-36,308953,-69,280699,-71,329173,-75,283210,-60,218111,-55,307811,-72
0.78,-0.41,15.69,308329,-67,135318,-36,308977,-69,280692,-71,329216,-75,283262,-60,218048,-55,316436,-72
0.79,-0.41,15.69,308326,-67,135319,-36,308989,-69,280689,-71,329237,-75,283287,-60,218016,-55,314102,-72
0.8,-0.41,15.69,308323,-67,135320,-36,309001,-69,280686,-71,329258,-75,283313,-60,217984,-55,304748,-72
0.82,-0.41,15.69,308316,-67,135322,-36,309025,-69,280680,-71,329301,-75,283364,-60,217922,-55,301719,-72
0.83,-0.41,15.69,308313,-67,135323,-36,309037,-69,280677,-71,329322,-75,283390,-61,217890,-55,299086,-72
0.84,-0.41,15.69,308309,-67,135324,-36,309049,-69,280673,-71,329344,-75,283415,-61,217858,-55,299726,-72
0.86,-0.41,15.69,308303,-67,135326,-36,309073,-69,280667,-71,329386,-75,283466,-61,217794,-55,300344,-71
0.87,-0.41,15.69,308300,-67,135327,-36,309085,-69,280663,-71,329408,-75,283492,-61,217764,-55,301723,-72
0.88,-0.41,15.69,308297,-67,135328,-36,309097,-69,280660,-71,329428,-75,283517,-61,217732,-55,310990,-72
0.89,-0.41,15.69,308293,-67,135329,-36,309109,-69,280657,-71,329449,-75,283543,-61,217700,-55,312687,-72
0.92,-0.41,15.69,308284,-67,135331,-36,309145,-69,280647,-71,329514,-76,283619,-61,217605,-55,301750,-72
0.93,-0.41,15.69,308280,-67,135332,-36,309157,-69,280644,-71,329535,-76,283645,-61,217573,-55,301125,-72
0.94,-0.41,15.69,308277,-67,135333,-36,309169,-69,280641,-71,329556,-76,283671,-61,217542,-55,303762,-72
0.95,-0.41,15.69,308274,-67,135334,-36,309182,-69,280638,-71,329577,-76,283696,-61,217510,-55,313178,-72
0.96,-0.41,15.69,308270,-67,135335,-36,309194,-69,280634,-71,329599,-76,283721,-61,217479,-55,313723,-72
0.97,-0.41,15.69,308267,-67,135336,-36,309206,-69,280631,-71,329620,-76,283747,-61,217447,-55,302283,-72
0.98,-0.41,15.69,308264,-67,135337,-36,309218,-69,280628,-71,329641,-76,283773,-61,217416,-55,313374,-72
0.99,-0.41,15.69,308261,-67,135338,-36,309230,-69,280624,-71,329663,-76,283798,-61,217384,-55,304060,-72
1.02,-0.41,15.69,308251,-67,135341,-36,309266,-69,280615,-71,329726,-76,283875,-61,217289,-55,295623,-72
1.03,-0.41,15.69,308247,-67,135342,-36,309278,-69,280611,-71,329747,-76,283901,-61,217257,-55,310794,-72
1.04,-0.41,15.69,308244,-67,135343,-36,309290,-69,280608,-71,329769,-76,283926,-61,217225,-55,302691,-72
