timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm)
493453295,1,524.9735234,6909.058264,7120.616733,4068.770135
493449532,1,386.3017975,6896.753878,6213.598137,4469.592476
493453815,1,464.7967644,8049.006197,7104.867744,4115.610635
493452063,1,494.7447217,6742.009848,7368.097403,4361.294655
493451194,1,348.1426991,7289.845226,7171.507259,3601.773153
493451796,1,346.1538462,6910.423639,7234.492047,4264.213531
493451403,1,323.1727173,6882.61861,7203.997956,3940.978204
493450420,1,17.25026738,7143.738945,7268.801148,4231.506539
493454696,1,413.6990881,7085.642174,7143.970434,3789.6336
493449405,1,324.4546392,7109.14327,7361.000256,4202.946304
493449996,1,461.5301205,7032.505885,7092.635514,4195.669934
493451361,1,,,7319.82507,3915.285638
493450977,1,436.9619772,7075.523389,7272.671972,3777.843047
493454020,1,351.2511161,6890.297587,6941.511488,4268.658584
493454383,1,521.4276615,6835.086988,7416.242973,3500.330672
493449761,1,434.8949858,6794.909652,7356.915265,4474.480223
493454208,1,358.9232303,7151.119315,7179.238798,4231.02944
493453048,1,297.7967213,6929.819086,7437.048342,3748.173789
493455118,1,,7123.95441,,
493450143,1,2.31533269,7196.662652,7038.762632,4211.952846
493450070,1,385.85209,7045.370363,7467.287929,4140.327823
493450868,1,430.4157303,7119.679302,7064.760094,3847.909786
493452194,1,459.8786798,7036.644545,7058.737891,4374.192493
493450653,1,450.2291871,7294.90445,7349.724789,4211.485619
493452092,1,565.7285714,6900.503921,7255.844283,4068.313677
493454398,1,465.2743682,6919.781066,7343.912259,3528.65684
493450099,1,547.3247373,6920.530819,7202.324162,4274.711273
493455321,1,308.239819,6973.171098,6950.057945,3896.655166
493449121,1,418.7907692,7064.144068,7108.703218,3893.024878
493452874,1,375.3910323,6961.557614,7107.788444,3875.529587
493454426,1,399.5313112,6929.819086,7181.060614,3663.79218
493452482,1,298.8803419,6702.685554,7049.180918,4214.447547
493454974,1,467.6337742,8104.587063,7148.262456,4052.091993
493450595,1,327.4932362,7266.773942,6643.864159,4255.119567
493455378,1,527.1746032,6931.8542,7164.143371,4381.231626
493450056,1,500.0232784,6970.990619,6243.663373,3946.389202
493452962,1,533.0688372,6826.552908,7181.981408,3379.175131
493453540,1,360.7214429,6817.008078,7414.390533,3726.536621
493450751,1,360.3603604,7398.797678,7319.885366,3971.787567
493450084,1,371.1340206,6911.144601,7278.084419,4152.325777
493453077,1,454.6824926,6962.282324,7288.701792,3801.651436
493450260,1,551.0086538,7404.399079,7314.516878,4477.891014
493451592,1,349.1755577,7026.898762,7416.465001,3996.574291
493450012,1,380.1478353,6908.261654,7454.969755,3878.851219
493451166,1,375.3910323,7580.140093,7533.886421,3396.75972
493450041,1,500.0232784,6932.118146,7263.374115,4128.741392
493449966,1,436.9619772,7026.898762,7361.570362,4150.103301
493452343,1,540.6122642,7100.50791,7217.826977,4343.524723
493454857,1,351.5625,7403.408882,7330.075621,4287.6304
493453208,1,486.802644,6952.390776,7233.564191,3985.063006
493452672,1,435.0588235,6992.702837,7492.994517,4316.165547
493449444,1,268.4571429,7046.82677,7396.202034,4231.828048
493452468,1,556.3582524,6796.146675,7244.714194,4113.409195
493453468,1,322.7907692,6931.392801,7140.156982,
493454740,1,452,8097.755937,7193.690037,3649.963951
493455089,1,123.2865636,7488.968009,7206.297547,3915.285638
493449149,1,456.9423459,7098.877359,6895.846906,4264.837681
493454668,1,371.5170279,7490.598172,7266.947335,4049.910064
493449205,1,405.8856859,7120.17546,6097.778296,3653.188309
493455277,1,375.782881,7280.285856,7338.483813,4458.85025
493454683,1,316.939577,7118.935888,7240.172913,3978.744454
493448952,1,1020.267843,8208.554171,8409.748209,4958.939112
493449262,1,8.810011377,7098.877359,7346.911318,4333.267989
493453149,1,545.2416746,6919.781066,7135.750575,3867.922085
493454281,1,319.8384146,7318.052741,7215.056927,3301.185576
493449776,1,461.9939698,6856.776835,7305.140495,4449.754505
493451696,1,295.5126761,6991.72507,7487.768261,3724.30127
493454540,1,332.6860465,6968.334692,6120.791775,3902.860543
493453266,1,-4.379512195,6898.908665,7259.834069,3997.128566
493451946,1,408.753862,6878.502931,6944.972254,4206.791932
493453310,1,432.5434322,6691.336518,7441.341815,4085.514672
493454484,1,433.3092105,6920.497103,7249.383157,3351.913948
493449337,1,269.0761246,7003.580214,7356.915265,4239.830749
493454193,1,360.7214429,6960.989899,7230.782051,4050.939457
493451855,1,469.5118397,6993.588205,7004.350271,3928.487134
493453339,1,416.2293578,6990.641726,7371.74561,3738.216007
493449575,1,394.5130435,6953.219377,7040.839823,4437.519963
493451518,1,305.2580019,6904.862134,7207.680511,3805.775447
493455335,1,52.08748906,7025.176891,6980.3894,4017.893491
493450638,1,307.5440181,7124.9378,7549.214776,4252.519393
493454121,1,272.7567568,6787.007345,6566.62508,4157.520822
493453671,1,484.0600939,6901.064798,7234.657992,3168.758672
493453178,1,354.0168729,6869.437755,7052.357253,3815.301943
493449304,1,319.8169014,7158.551974,7218.7508,4062.879168
493449632,1,414.1186613,6775.072568,7147.629786,3865.92111
493455247,1,470.5056295,7146.911681,5907.576833,4475.70186
493455392,1,664.1677149,7233.740045,7807.105329,3858.422993
493450933,1,442.0038462,7076.816379,7262.316936,3686.498936
493450304,1,378.5488959,7008.866574,7314.516878,4437.355373
493449790,1,501.0614035,6793.488866,7267.117639,4236.77137
493451180,1,371.5170279,7396.98915,7301.260969,3867.169438
493449325,1,371.5170279,6950.705051,6995.291629,3971.051013
493449234,1,407.8828749,7183.561679,7051.528661,4168.184136
493449912,1,403.8783383,6974.149395,7396.202034,3892.643048
493454799,1,411.6139113,7367.862178,6933.790777,4060.959696
493453511,1,435.3068182,6849.357971,7135.750575,3727.006902
493449419,1,266.0976563,6801.078055,7357.845813,4280.302012
493450173,1,409.5496489,7047.385037,7279.01405,4537.945414
493453438,1,407.505988,6796.331032,7098.542668,3702.687877
493450780,1,354.0168729,7187.986189,7217.826977,4744.170614
493455364,1,468.2580275,6712.473558,7621.42539,4310.125229
493454063,1,424.0093458,6837.936425,6941.382906,4440.247453
493450318,1,375.782881,7366.440227,7345.973973,4374.192493
493452453,1,416.3804348,6890.297587,7098.653643,4060.349413
493454625,1,317.9,7090.063332,7331.008913,4277.228187
493454511,1,533.5651769,7408.46029,7036.103115,3677.580645
493454725,1,504.8889868,7997.092431,7069.77739,3790.697641
493452360,1,,7129.743945,,
493450464,1,586.1387604,6950.705051,7269.728409,4257.125497
493454339,1,469.5118397,7041.966298,7147.629786,3440.925846
493449039,1,296.8053435,7735.55787,7490.721177,4498.772804
493449618,1,378.1512605,6847.213525,6934.461061,4182.187882
493451534,1,417.5149864,7011.919061,7380.24981,3789.332853
493450853,1,288.038055,7014.491483,7116.653295,3726.821051
493454568,1,375.3910323,7110.768565,7429.526675,4270.096238
493454006,1,399.5313112,6743.422823,7295.201121,3965.699109
493449220,1,402.2866995,7247.196776,7355.984952,4066.710745
493454989,1,571.8555957,7968.507566,7098.653643,3982.195539
493455103,1,375.782881,7486.231142,6991.998081,4156.035197
493454150,1,349.1755577,7046.546125,7221.523688,4123.469353
493448984,1,1203.990957,7189.349112,8101.374643,4127.27626
493449248,1,385.936673,7235.232769,7217.876762,4260.36407
