timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
553292764,1,157.33120510774145,6201.866021733368,7148.831019436732,4282.306282722513,-60.0,-71.0,-50.0,-62.0
553294970,1,114.1022146507666,6152.133692651506,6581.985669390321,4853.155068880255,-59.0,-71.0,-54.0,-66.0
553296775,1,104.46347607052896,8068.984725274725,7088.335465432771,3255.7859318346627,-58.0,-71.0,-56.0,-64.0
553291830,1,110.8907284768212,6338.539408222048,6994.779022801303,5846.585687616676,-59.0,-71.0,-52.0,-58.0
553291452,1,86.65235008103727,6258.540565417488,6850.326818534818,6217.982302045097,-59.0,-71.0,-54.0,-62.0
553296577,1,144.89840989399295,6219.286684960146,6952.116368779735,5287.645734767025,-59.0,-71.0,-54.0,-60.0
553296141,1,76.37569060773481,6223.701244813277,6594.501479289941,6947.333206155411,-59.0,-71.0,-55.0,-65.0
553293817,1,184.1270718232044,6733.375682886546,7080.687313722949,5547.800816465385,-60.0,-71.0,-55.0,-64.0
553290929,1,144.26121372031662,6572.898876404494,6200.995272455835,,-59.0,-71.0,-49.0,
553291188,1,133.57084690553748,6149.708409986859,7063.837078651685,5886.125,-59.0,-71.0,-54.0,-64.0
553294417,1,-65.4366910523354,5958.1767730029,7202.702243462099,4406.711413969336,-53.0,-71.0,-52.0,-60.0
553296835,1,113.1568894952251,7382.457608027851,6323.808407543216,3308.0509447500594,-59.0,-71.0,-51.0,-69.0
553295054,1,94.12764084507045,7004.149678719919,6661.842590286426,5186.286636350301,-59.0,-71.0,-54.0,-65.0
553290790,1,,,7042.674091441969,5790.325808770668,,,-54.0,-63.0
553296656,1,44.59049544994944,6805.284203821656,6907.029604045886,4630.864436619719,-60.0,-71.0,-51.0,-65.0
553294842,1,73.40176991150443,6195.002082519849,6651.8957923228345,4117.2104316546765,-59.0,-71.0,-55.0,-66.0
553292108,1,112.09707112970712,6223.219936708861,6978.606869254341,4003.484798909338,-59.0,-71.0,-54.0,-56.0
553293863,1,105.6435331230284,7201.1965092918135,7153.985471204189,5246.64005558987,-60.0,-71.0,-53.0,-65.0
553295401,1,12.581123244929795,6540.79886903997,6562.948840633052,5092.758921362829,-52.0,-71.0,-53.0,-64.0
553291488,1,136.5736885928393,6595.898911353033,6871.672942092963,6673.282126466088,-59.0,-71.0,-54.0,-64.0
553291687,1,134.8889802631579,,7046.345497197967,4653.749715153817,-60.0,,-52.0,-59.0
553296529,1,170.09145815358067,6148.092616920651,6628.246781905113,5573.25090909091,-54.0,-71.0,-54.0,-60.0
553296483,1,78.39697542533081,6407.739651132518,6604.210850652488,6920.285843685299,-59.0,-71.0,-54.0,-64.0
553295447,1,175.5440783615316,6455.458473046169,6542.104449938194,3668.6605883364873,-59.0,-71.0,-55.0,-67.0
553295242,1,140.43236301369862,6205.502086049543,6402.219667624641,4606.53415061296,-59.0,-71.0,-55.0,-66.0
553291763,1,90.541066892464,6042.534649529614,6882.395968790636,5724.253082327986,-59.0,-71.0,-50.0,-63.0
553290458,1,89.9318755256518,7045.195408035938,6552.892978696585,,-59.0,-71.0,-53.0,
553292007,1,136.6875,6209.301407709512,7013.44000518874,6671.836186462997,-60.0,-71.0,-54.0,-63.0
553295803,1,68.0985221674877,5948.766649118189,6494.738618235366,5135.484563758389,-53.0,-71.0,-54.0,-65.0
553291553,1,130.17857142857142,6676.760552471925,6498.390504807693,4304.192125718148,-59.0,-71.0,-54.0,-64.0
553293271,1,180.70410534469403,6299.960423560557,7049.894043226147,1781.913691643782,-59.0,-71.0,-54.0,-56.0
553291572,1,110.8907284768212,6528.695472186288,6711.152427549868,4610.709325729621,-59.0,-71.0,-51.0,-58.0
553291205,1,55.21015138023152,6158.200053099694,6737.8460429769375,6706.290782927468,-60.0,-71.0,-53.0,-63.0
553293674,1,144.10526315789474,6525.318851823118,6748.552512008308,4205.363712814044,-60.0,-71.0,-52.0,-58.0
553296727,1,189.18685121107265,7353.294268919913,7044.323939952595,2836.9066250974274,-59.0,-71.0,-59.0,-66.0
553295787,1,166.64074387151308,6398.577408033277,6755.373265773917,4798.0446168768185,-59.0,-71.0,-53.0,-62.0
553291506,1,136.1203319502075,6561.801586269666,7420.997694790225,5828.071581316826,-59.0,-71.0,-50.0,-59.0
553294209,1,-96.941468801767,6839.282336045955,6984.447616587005,5480.830086089714,-55.0,-71.0,-53.0,-65.0
553290823,1,153.4377923292797,6042.534649529614,7026.2,4360.918768986924,-59.0,-71.0,-51.0,-55.0
553296805,1,136.3890306122449,7377.157051607016,7228.538637279936,4105.12830340932,-59.0,-71.0,-56.0,-64.0
553295292,1,114.88507718696395,6353.223451327433,6585.5713406376935,4420.385633575464,-59.0,-71.0,-54.0,-66.0
553296791,1,43.1283185840708,7456.538225046115,7248.827805784028,3978.5628424105694,-58.0,-71.0,-55.0,-68.0
553293913,1,140.67324185248714,6684.979615384616,,,-60.0,-70.0,,
553296267,1,77.5177570093458,6084.940969964894,6821.550114766641,6566.372812579254,-60.0,-71.0,-53.0,-59.0
553290542,1,130.30739299610894,7051.63310258024,6522.134529147982,6594.380945619765,-59.0,-71.0,-51.0,-62.0
553292355,1,89.6303436714166,6076.829700092482,6917.478107436936,4897.9239317577085,-59.0,-71.0,-54.0,-64.0
553292155,1,56.8816513761468,6216.662276080085,6759.947985065018,5124.784045244828,-59.0,-71.0,-54.0,-61.0
553290300,1,1406.156685236769,8220.782748747315,10929.828702454815,,-62.0,-70.0,-59.0,
553290608,1,6.3164763458401305,6082.454906109494,6833.624812406204,3736.651476361154,-53.0,-71.0,-49.0,-61.0
553294546,1,,,,5096.0141608391605,,,,-64.0
553294648,1,53.58772687986171,6148.092616920651,7035.905836379679,6797.198415790158,-60.0,-71.0,-55.0,-65.0
553292971,1,200.2480686695279,6164.288856691253,7083.271190881697,4784.4710772428125,-60.0,-71.0,-54.0,-60.0
553296108,1,77.5177570093458,6152.133692651506,6974.160830717218,6985.309376186258,-59.0,-71.0,-52.0,-64.0
553292653,1,132.06521739130434,6179.222309505107,7272.00197677292,4276.41760904685,-59.0,-71.0,-50.0,-64.0
553291608,1,196.37121212121207,6608.5225399278725,7190.129669223997,3204.2973038916675,-55.0,-71.0,-52.0,-64.0
553295886,1,139.59574468085106,6619.606373371178,6529.191339748334,5751.823132919924,-59.0,-71.0,-54.0,-66.0
