timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
604735765,1-1,3960.0,7426.0,12519.0,-420.0,-62.0,-72.0,-64.0,-47.0,892.0,1074.0,1223.0,1367.0
604729711,1-1,4077.0,7456.0,12373.0,-460.0,-62.0,-72.0,-64.0,-47.0,920.0,603.0,1357.0,1353.0
604731089,1-1,4038.0,7514.0,12402.0,-499.0,-57.0,-72.0,-60.0,-45.0,1116.0,607.0,2402.0,1363.0
604730255,1-1,3960.0,7661.0,12461.0,-421.0,-62.0,-72.0,-63.0,-47.0,979.0,459.0,2520.0,1321.0
604730340,1-1,3960.0,7602.0,12675.0,-381.0,-62.0,-72.0,-63.0,-48.0,924.0,553.0,1482.0,1273.0
604730837,1-1,3960.0,7573.0,12432.0,-421.0,-62.0,-72.0,-63.0,-47.0,996.0,524.0,1531.0,1350.0
604733076,1-1,3921.0,7544.0,12344.0,-479.0,-62.0,-72.0,-65.0,-42.0,1118.0,540.0,2008.0,1261.0
604731844,1-1,3882.0,7485.0,12432.0,-460.0,-62.0,-72.0,-64.0,-47.0,1047.0,552.0,1377.0,1401.0
604732906,1-1,,7456.0,12705.0,-499.0,,-72.0,-62.0,-47.0,,638.0,1872.0,1360.0
604729401,1-1,,7514.0,12432.0,-499.0,,-72.0,-62.0,-41.0,,525.0,682.0,1282.0
604733741,1-1,3960.0,7602.0,12490.0,-577.0,-57.0,-72.0,-64.0,-45.0,1509.0,527.0,1393.0,1370.0
604733700,1-1,3882.0,7544.0,12402.0,-381.0,-57.0,-72.0,-64.0,-45.0,1109.0,655.0,1960.0,1331.0
604733175,1-1,3921.0,7514.0,12432.0,-577.0,-62.0,-72.0,-64.0,-48.0,1144.0,509.0,1933.0,1458.0
604735681,1-1,3882.0,7602.0,11182.0,-420.0,-62.0,-72.0,-65.0,-43.0,976.0,489.0,553.0,1216.0
604730397,1-1,4038.0,7602.0,12490.0,-183.0,-62.0,-72.0,-64.0,-45.0,973.0,549.0,2489.0,1222.0
604735355,1-1,3921.0,7514.0,12402.0,-421.0,-62.0,-72.0,-64.0,-45.0,1056.0,568.0,1275.0,1270.0
604729668,1-1,3882.0,7632.0,12432.0,-577.0,-62.0,-72.0,-64.0,-47.0,1021.0,492.0,1185.0,1455.0
604730663,1-1,3999.0,7661.0,12549.0,-450.0,-62.0,-72.0,-61.0,-47.0,947.0,495.0,1860.0,1350.0
604734975,1-1,3921.0,7485.0,12432.0,-508.0,-62.0,-72.0,-64.0,-47.0,1062.0,630.0,1543.0,1439.0
604731773,1-1,3921.0,7514.0,12500.0,-332.0,-62.0,-72.0,-64.0,-42.0,1054.0,550.0,1408.0,1305.0
604734221,1-1,3999.0,7426.0,13237.0,-381.0,-62.0,-72.0,-61.0,-47.0,1066.0,652.0,1223.0,1230.0
604732735,1-1,3960.0,7514.0,12519.0,-421.0,-62.0,-72.0,-64.0,-48.0,1106.0,635.0,1454.0,1249.0
