Starting Wi-Fi RTT Ranging...
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 9350 mm, StdDev: 530 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 9350 mm, StdDev: 530 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6309 mm, StdDev: 1067 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 9350 mm, StdDev: 530 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6309 mm, StdDev: 1067 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -49, Distance: -135 mm, StdDev: 2107 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 9350 mm, StdDev: 530 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6309 mm, StdDev: 1067 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -49, Distance: -135 mm, StdDev: 2107 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.210, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -57, Distance: 2512 mm, StdDev: 511 mm, timeStemp: 7256497602, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.334, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 7133 mm, StdDev: 780 mm, timeStemp: 7256497726, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.334, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 7133 mm, StdDev: 780 mm, timeStemp: 7256497726, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.334, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 5693 mm, StdDev: 1443 mm, timeStemp: 7256497726, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.334, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -66, Distance: 7133 mm, StdDev: 780 mm, timeStemp: 7256497726, mcOn: true
Label: 6-8, Timestamp: 2025-01-10 13:48:27.334, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 5693 mm, StdDev: 1443 mm, timeStemp: 7256497726, mcOn: true
